구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","삼일무지개아파트 관리사무소","충북 충주시 금릉로 17 삼일무지개아파트 관리사무소","1","1","1","",36.986211220445,127.91753148429
"개방화장실","들림횟집","충북 충주시 살미면 팔봉향산길 380-3 들림횟집","1","2","1","",36.923526663809,127.92330012575
"개방화장실","갓바위가든","충북 충주시 동량면 조동1길 76 갓바위가든","1","2","2","",37.0267933905837,127.968450948723
"개방화장실","서충주생활체육공원","충북 충주시 주덕읍 기업도시3로 150 서충주생활체육공원","1","3","5","",37.0062715634177,127.814236302724
"개방화장실","조정경기장","충북 충주시 중앙탑면 중앙탑길 150 조정경기장","1","3","8","",37.0230838118853,127.861924785136
"개방화장실","유소년 축구장","충북 충주시 달신5길 2-2 유소년 축구장","1","4","6","",36.9638707990885,127.902288388716
"개방화장실","종합운동장","충북 충주시 대림로 85 종합운동장","1","71","161","09:00~18:00",36.95857963,127.915
"개방화장실","충주체육관","충북 충주시 예성로 266 충주체육관","1","21","28","08:00~20:00",36.9816922713737,127.936579544524
"공중화장실","탄금힐링레포츠파크","충북 충주시 낙수당1길 17 탄금힐링레포츠파크","1","6","9","",36.9842921254949,127.90371076038
"개방화장실","탄금테니스장","충북 충주시 남한강로 8 탄금테니스장","1","2","2","",36.9865552725907,127.904637224899
"개방화장실","탄금축구장","충북 충주시 남한강로 8 탄금축구장","1","3","5","",36.9865552725907,127.904637224899
"개방화장실","자유시장","충북 충주시 공설시장길 13 자유시장","1","3","4","",36.9740783036696,127.928985991282
"개방화장실","성서동 공설시장","충북 충주시 성서1길 63 성서동 공설시장","1","1","2","",36.9724482484465,127.929659968782
"개방화장실","엄정내창시장거고객쉼터","충북 충주시 엄정면 미내장터길 15 엄정내창시장거고객쉼터","1","1","1","09:00~18:00",37.0861473815327,127.916341224369
"개방화장실","농수산물도매시장","충북 충주시 목행산단5로 54 농수산물도매시장","1","16","23","",37.00595339,127.923
"개방화장실","연원시장","충북 충주시 연수동 550-1 연원시장","1","2","2","09:00~21:00",36.9895821873548,127.93555718163
"공중화장실","목행재래시장","충북 충주시 목행동 608-24 목행재래시장","1","1","1","",37.0134779833045,127.918417968559
