구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","우보보건지소","대구 군위군 우보면 이화길 135-1 우보보건지소","1","2","2","09:00~18:00",36.196288,128.664556
"개방화장실","효령보건지소","대구 군위군 효령면 치산효령로 2402 효령보건지소","1","2","2","09:00~18:00",36.156783,128.584993
"개방화장실","화본역","대구 군위군 산성면 산성가음로 711-9 화본역","1","3","3","06:00~21:00",36.12688,128.69487
"개방화장실","군위주유소","대구 군위군 군위읍 경북대로 4082 군위주유소","1","2","2","",36.26707,128.5769
"개방화장실","군위주유소","대구 군위군 군위읍 경북대로 4084 군위주유소","1","2","2","",36.26499,128.5748
"개방화장실","군위휴게소","대구 군위군 군위읍 경북대로 4082 군위휴게소","1","13","33","",36.26529,128.5767
"개방화장실","군위휴게소","대구 군위군 군위읍 경북대로 4084 군위휴게소","1","13","33","",36.26664,128.575
"공중화장실","석산분교장","대구 군위군 삼국유사면 삼국유사로 1314 석산분교장","1","2","2","08:30~16:30",36.1750306,128.8548074
"공중화장실","군위경찰서","대구 군위군 군위읍 중앙길 74 군위경찰서","1","13","4","09:00~18:00",36.23476779,128.5665887
"공중화장실","중앙파출소","대구 군위군 군위읍 중앙길 73 중앙파출소","1","2","2","",36.23505306,128.5662253
"공중화장실","소보치안센터","대구 군위군 소보면 송원3길 12 소보치안센터","1","1","2","09:00~18:00",36.25529508,128.4767029
"공중화장실","효령파출소","대구 군위군 효령면 치산효령로 2383 효령파출소","1","2","2","",36.1560799,128.5869715
"공중화장실","부계파출소","대구 군위군 부계면 창평길 29 부계파출소","1","1","1","",36.09882163,128.6655969
"이동화장실","사과시험장 앞","대구 군위군 소보면 위성리 1191-70 사과시험장 앞","1","1","1","09:00~24:00",36.2808705235309,128.468392622363
"이동화장실","복성교","대구 군위군 소보면 복성리 131-1 복성교","1","1","1","09:00~24:00",36.2962400515818,128.475703612717
"이동화장실","사리교","대구 군위군 소보면 사리리 189-1 사리교","1","1","1","09:00~24:00",36.3091143860288,128.467169951951
"이동화장실","산호지 도로변","대구 군위군 소보면 산법리 산 4-2 산호지 도로변","1","1","1","09:00~24:00",36.2310191550427,128.506408673387
"이동화장실","산호지 중간지점","대구 군위군 소보면 산법리 산 71 산호지 중간지점","1","1","1","09:00~24:00",36.231213413858,128.509355479679
"이동화장실","달천교 옆","대구 군위군 소보면 봉황리 952 달천교 옆","1","1","1","09:00~24:00",36.2638387825117,128.490266251915
"개방화장실","화수주유소","대구 군위군 삼국유사면 동부로 305 화수주유소","1","1","1","",36.126963,128.752555
"개방화장실","삼국유사농협주유소","대구 군위군 삼국유사면 삼국유사로 452 삼국유사농협주유소","1","1","2","08:20~17:20",36.124101,128.794576
"공중화장실","병풍암 앞","대구 군위군 삼국유사면 화북리 156-4 병풍암 앞","1","1","1","",36.122464,128.785442
"공중화장실","화수교 앞","대구 군위군 삼국유사면 화수리 1256-14 화수교 앞","1","1","1","",36.126365,128.754495
"공중화장실","아미산","대구 군위군 삼국유사면 삼국유사로 1122 아미산","1","3","3","",36.169199,128.838982
"공중화장실","신비의소나무 앞","대구 군위군 삼국유사면 학암1길 56-45 신비의소나무 앞","1","1","3","",36.176258,128.875778
"공중화장실","일연폭포주차장","대구 군위군 삼국유사면 화북3길 38-14 일연폭포주차장","1","1","3","",36.119048,128.788567
"공중화장실","학소대","대구 군위군 삼국유사면 화북리 607-2 학소대","1","1","3","",36.128551,128.779131
"공중화장실","용아교차로 주차장","대구 군위군 삼국유사면 학성리 513 용아교차로 주차장","1","1","1","",36.136238,128.800775
"공중화장실","면민운동장","대구 군위군 삼국유사면 학성리 415 면민운동장","1","1","2","",36.124694,128.794815
"공중화장실","하늘전망대","대구 군위군 삼국유사면 화북리 산 229-16 하늘전망대","1","1","1","",36.098971,128.767123
"공중화장실","화산 체험관","대구 군위군 삼국유사면 화산산성길 33 화산 체험관","1","1","1","",36.104615,128.774941
"개방화장실","삼국유사면사무소","대구 군위군 삼국유사면 삼국유사로 448 삼국유사면사무소","1","11","11","09:00-18:00",36.123552,128.794746
"공중화장실","삼영주유소","대구 군위군 산성면 치산효령로 824 삼영주유소","1","1","1","",36.073516,128.709658
"공중화장실","삼국유사군위휴게소","대구 군위군 부계면 치산효령로 989-23 삼국유사군위휴게소","1","12","34","",36.079542,128.696741
"공중화장실","군위영천휴게소","대구 군위군 산성면 치산효령로 865-43 군위영천휴게소","1","12","34","",36.070737,128.708536
"공중화장실","산성면사무소","대구 군위군 산성면 산성가음로 668 산성면사무소","1","1","3","09:00~18:00",36.123034,128.694774
"공중화장실","산성치안센터","대구 군위군 산성면 산성가음로 706 산성치안센터","1","2","2","09:00~18:00",36.12612859,128.6956652
"공중화장실","산성보건지소","대구 군위군 산성면 산성가음로 651 산성보건지소","1","2","2","09:00~18:00",36.122025,128.694086
"공중화장실","산성우체국","대구 군위군 산성면 산성가음로 684 산성우체국","1","2","2","09:00~18:00",36.124416,128.694991
"공중화장실","엄마아빠 어렸을적에","대구 군위군 산성면 산성가음로 722 엄마아빠 어렸을적에","1","3","3","",36.127803,128.696667
"이동화장실","화본지 중간지점","대구 군위군 산성면 화전리 1034 화본지 중간지점","1","1","1","",36.133582,128.700576
"이동화장실","백학지 옆","대구 군위군 산성면 백학리 781-4 백학지 옆","1","1","1","",36.071982,128.698549
"공중화장실","박태산트레킹코스 소공원","대구 군위군 효령면 거매리 30 박태산트레킹코스 소공원","1","2","4","",36.153281,128.609037
"공중화장실","효령면사무소","대구 군위군 효령면 치산효령로 2400 효령면사무소","1","2","2","",36.156884,128.585479
"이동화장실","장기교 옆","대구 군위군 효령면 장기리 1045-98 장기교 옆","1","1","1","",36.119277,128.579766
"공중화장실","중부주유소","대구 군위군 효령면 경북대로 2656-11 중부주유소","1","1","2","07:00~20:00",36.153623,128.58692
"공중화장실","오천주유소","대구 군위군 효령면 효우로 309 오천주유소","1","1","1","",36.185489,128.611178
"개방화장실","군위버스터미널","대구 군위군 군위읍 중앙길 10 군위버스터미널","1","1","2","",36.229681,128.568677
"개방화장실","간동유원지","대구 군위군 효령면 간동유원지길 13","1","3","6","",36.17861,128.58426
"개방화장실","대율리","대구 군위군 부계면 한티로 2157 대율리","1","3","6","",36.061301,128.655299
"개방화장실","소보보건지소","대구 군위군 소보면 송원3길 30-7 소보보건지소","1","2","2","09:00~18:00",36.255638,128.478681
"개방화장실","삼국유사면보건지소","대구 군위군 삼국유사면 삼국유사로 448 삼국유사면보건지소","1","2","2","09:00~18:00",36.123365,128.794727
"개방화장실","부계보건지소","대구 군위군 부계면 창평길 3-1 부계보건지소","1","2","2","09:00~18:00",36.100908,128.664096
"개방화장실","군위군 보건소","대구 군위군 군위읍 중앙길 31-10 군위군 보건소","1","8","11","09:00~18:00",36.231453,128.566524
"개방화장실","군위풋살장","대구광역시 군위군 군위읍 사직1길 22-78 군위풋살장","1","2","2","",36.237759,128.559431
"개방화장실","군위양궁장","대구 군위군 군위읍 하곡리 산 38-1 군위양궁장","1","1","1","09:00~18:00",36.23031,128.581985
"개방화장실","생활체육공원1","대구 군위군 군위읍 경북대로 3785 생활체육공원1","1","2","6","",36.242501,128.562349
"개방화장실","생활체육공원3","대구 군위군 군위읍 서부리 442 생활체육공원3","1","1","2","",36.239049,128.562348
"개방화장실","생활체육공원4","대구 군위군 군위읍 서부리 411 생활체육공원4","1","1","2","",36.237852,128.562448
"이동화장실","내의교","대구 군위군 소보면 내의리 1420-49 내의교","1","1","1","09:00~24:00",36.2796212501511,128.492977860532
"이동화장실","봉황교","대구 군위군 소보면 봉소리 689-2 봉황교","1","1","1","09:00~24:00",36.267022415225,128.516033420943
"공중화장실","소보우체국","대구 군위군 소보면 송원3길 31 소보우체국","1","2","2","09:00~18:00",36.2561974065338,128.478871893708
"공중화장실","소보시장","대구 군위군 소보면 송원3길 34 소보시장","1","1","2","09:00~24:00",36.2556563688574,128.479164539855
"공중화장실","소보면","대구 군위군 소보면 송백로 1415","1","2","3","09:00~24:00",36.2550683018246,128.474969832797
"공중화장실","소보농협주유소","대구 군위군 소보면 송원3길 15 소보농협주유소","1","1","2","09:00~18:00",36.2557099914767,128.477151772262
