구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","남구청 본관","대구 남구 이천로 51 남구청 본관","1","15","24","09:00~18:00",35.845779,128.597762
"개방화장실","남구청사","대구 남구 이천로 51 남구청사","1","2","21","09:00~18:00",35.845779,128.597762
"공중화장실","고산골관리소내","대구 남구 고산3길 95-3 고산골관리소내","1","2","2","",35.8248607,128.60271
"공중화장실","고산골관리소옆","대구 남구 고산3길 95-3 고산골관리소옆","1","2","3","",35.8248607,128.60271
"공중화장실","유아숲체험원","대구 남구 고산3길 96-5 유아숲체험원","1","4","5","",35.8230319,128.599962
"공중화장실","충혼탑내","대구 남구 앞산순환로 540 충혼탑내","1","3","6","",35.832258,128.583747
"공중화장실","큰골주차장앞","대구 남구 앞산순환로 540 큰골주차장앞","1","3","5","",35.832258,128.583747
"공중화장실","앞산공원관리소 내","대구 남구 앞산순환로 452 앞산공원관리소 내","1","4","4","",35.822521,128.584096
"공중화장실","대덕동산","대구 남구 앞산순환로 452 대덕동산","1","2","3","",35.822521,128.584096
"공중화장실","대성사 앞","대구 남구 앞산순환로 452 대성사 앞","1","2","3","",35.822521,128.584096
"공중화장실","큰골서편 자락길","대구 남구 앞산순환로 452 큰골서편 자락길","1","2","3","",35.822521,128.584096
"공중화장실","대구가톨릭병원","대구 남구 두류공원로17길 33 대구가톨릭병원","1","1","6","",35.8441986,128.565822
"공중화장실","대구미래교육연구원","대구 남구 중앙대로31길 150 대구미래교육연구원","1","1","10","09:00~18:00",35.8518479,128.58655
"개방화장실","대구은행","대구 남구 대경길 7 대구은행","1","1","10","09:00~18:00",35.8498531,128.572397
"개방화장실","신명주유소","대구 남구 대명로 226 신명주유소","1","1","2","",35.8405563,128.581787
"공중화장실","대덕노인종합복지관","대구 남구 큰골길 137 대덕노인종합복지관","1","1","16","09:00~18:00",35.8361867,128.58377
