구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","한밭수목원 서원1번","대전 서구 둔산대로 169 한밭수목원 서원1번","1","3","5","06:00~21:00",36.3664690153972,127.388017285001
"공중화장실","한밭수목원 서원2번","대전 서구 둔산대로 169 한밭수목원 서원2번","1","3","5","06:00~21:00",36.3664690153972,127.388017285001
"공중화장실","SK행복충전 대전가스충전소","대전 서구 도산로 218 SK행복충전 대전가스충전소","1","2","2","09:00~18:00",36.327355913866,127.380795108622
"공중화장실","싱글벙글LPG충전소","대전 서구 계백로1249번길 27 싱글벙글LPG충전소","1","2","2","09:00~18:00",36.3072688277901,127.359686918807
"공중화장실","대전개인택시가장지점","대전 서구 갈마로 335 대전개인택시가장지점","1","1","1","09:00~18:00",36.328349653424,127.388465132395
"공중화장실","월평LPG충전소","대전 서구 월드컵대로484번길 82-59 월평LPG충전소","1","2","2","09:00~18:00",36.3465714667805,127.352745464111
"공중화장실","서정LPG충전소","대전 서구 계백로 1332 서정LPG충전소","1","3","3","09:00~18:00",36.3093012031299,127.370157796308
"공중화장실","정림가스충전소","대전 서구 계백로 1275 정림가스충전소","1","1","1","09:00~18:00",36.3080676942663,127.364399076946
"공중화장실","지에스칼텍스 정림주유소","대전 서구 계백로 1290","1","1","1","09:00~18:00",36.30788158070318,127.36620453026265
"공중화장실","갈마주유소","대전 서구 신갈마로 130 갈마주유소","1","2","2","09:00~18:00",36.3452787710436,127.368820698781
"공중화장실","현대셀프주유소","대전 서구 변동로 114 현대셀프주유소","1","1","1","09:00~18:00",36.3233265448025,127.385160613366
"공중화장실","코끼리셀프주유소","대전 서구 도산로 446 코끼리셀프주유소","1","1","1","06:00~21:00",36.3419565360606,127.398398420178
"공중화장실","에너비즈 명품주유소","대전 서구 배재로 218 에너비즈 명품주유소","1","1","1","09:00~18:00",36.3278910459505,127.370729614436
"공중화장실","괴정주유소","대전 서구 괴정로 113 괴정주유소","1","1","1","09:00~18:00",36.3377380844748,127.385609485969
"공중화장실","혜천셀프주유소","대전 서구 혜천로 28 혜천셀프주유소","1","1","1","09:00~18:00",36.3066479972885,127.369762019374
"공중화장실","배재주유소","대전 서구 도솔로 57 배재주유소","1","1","1","09:00~18:00",36.3158704408761,127.373204664558
"공중화장실","남선석유 계백셀프주유소","대전 서구 계백로 1327 남선석유 계백셀프주유소","1","1","1","09:00~18:00",36.3097716111621,127.369607188003
"공중화장실","중동주유소","대전 서구 계룡로 344 중동주유소","1","1","1","07:00~22:00",36.3537197110517,127.367155965438
"공중화장실","황금주유소","대전 서구 동서대로 1081 황금주유소","1","1","1","09:00~18:00",36.3290887599434,127.381030630558
"공중화장실","주홍셀프","대전 서구 도산로 475 주홍셀프","1","1","1","09:00~18:00",36.3441777004055,127.400355798261
"공중화장실","씨앤에스유통 호수공원주유소","대전 서구 계백로 1259 씨앤에스유통 호수공원주유소","1","1","1","09:00~18:00",36.3075924238362,127.362675952703
"공중화장실","대전오렌지타운","대전 서구 계룡로 616 대전오렌지타운","1","3","3","09:00~18:00",36.3398204804178,127.390645153057
"공중화장실","리베라아이누리 주상복합","대전 유성구 온천로 26","1","3","4","09:00~18:00",36.355098673053575,127.34065969868222
"공중화장실","삼영빌딩","대전 서구 계룡로 568 삼영빌딩","1","3","5","09:00~18:00",36.3419223233944,127.386729101031
"공중화장실","허리사랑병원","대전 서구 계룡로 618 허리사랑병원","1","2","2","09:00~18:00",36.3397002435694,127.390899297621
"공중화장실","예지중고등학교","대전 서구 도솔로 376 예지중고등학교","1","1","1","09:00~18:00",36.3401478599048,127.387717259096
"공중화장실","나진요양병원","대전 서구 갈마로 122 나진요양병원","1","3","4","09:00~18:00",36.3416635892605,127.371272748247
"공중화장실","갈마지구대","대전 서구 신갈마로 211 갈마지구대","1","3","3","09:00~18:00",36.3526549752868,127.368355719026
"공중화장실","관저1동행정복지센터","대전 서구 관저북로 24 관저1동행정복지센터","1","9","13","09:00~18:00",36.3038581597177,127.337354220616
"공중화장실","관저2동행정복지센터","대전 서구 관저중로 82 관저2동행정복지센터","1","2","4","09:00~18:00",36.2992846016925,127.335193629809
"공중화장실","관저문예회관","대전 서구 관저동로105번길 20 관저문예회관","1","7","15","09:00~18:00",36.3016711698161,127.339550113287
"공중화장실","괴정동행정복지센터","대전 서구 가장로 57 괴정동행정복지센터","1","1","3","09:00~18:00",36.3371691973193,127.38206598472
"공중화장실","구봉지구대","대전 서구 관저로 65 구봉지구대","1","3","1","09:00~18:00",36.2991862092211,127.328990520782
"공중화장실","대교","대전 서구 대덕대로 239 대교","1","3","3","09:00~18:00",36.3542381114712,127.378919186435
"공중화장실","재능교육빌딩","대전 서구 대덕대로234번길 15 재능교육빌딩","1","4","3","09:00~18:00",36.3538039535292,127.38061171578
"공중화장실","충청투데이","대전 서구 갈마중로30번길 67 충청투데이","1","8","7","09:00~18:00",36.3447681010289,127.373050988483
"공중화장실","하이리빙","대전 서구 갈마로 34 하이리빙","1","2","2","09:00~18:00",36.3493572919021,127.369060844746
"공중화장실","하이프라자 둔산점","대전 서구 문예로 3 하이프라자 둔산점","1","4","5","09:00~18:00",36.3469943205226,127.389807730553
"공중화장실","DS클리닉빌딩","대전 서구 대덕대로 183 DS클리닉빌딩","1","13","26","09:00~18:00",36.3496864432153,127.376986352319
"공중화장실","KEB하나은행둔산지점","대전 서구 대덕대로 235 KEB하나은행둔산지점","1","4","4","09:00~18:00",36.353806640037,127.378944167559
