구분,화장실명,소재지도로명주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
간이화장실,용연(서울)졸음쉼터,충남 당진시 용연동 산 119-2,1,2,,36.86116954,126.6461781
공중화장실,그린광장공원,충남 당진시 송산면 유곡리 1392,1,3,,36.96304776,126.6908787
공중화장실,물레방앗간유원지 주차장,충남 청양군 대치면 개곡리 136-9,2,1,,36.39761219,126.8410917
공중화장실,장곡주차장(장승공원),충남 청양군 대치면 장곡길 115,4,5,,36.40977825,126.8499888
개방화장실,비호산 체육공원,충남 금산군 금산읍 중도리 203-32,1,2,,36.1134836,127.4900335
공중화장실,이슬공원 주차장,충남 금산군 금성면 양전리 381,3,2,,36.11510745,127.4795974
개방화장실,금산수삼센터,충남 금산군 금산읍 중도리 24,2,1,,36.10014209,127.4958473
공중화장실,공중화장실,충남 금산군 남이면 흑암리 452-3,1,1,,36.02123392,127.4549516
개방화장실,금성농공단지관리사무소,충남 금산군 금성면 금성공단로 5-16,4,4,,36.15985619,127.4791614
개방화장실,지방2리 가사공원,충남 금산군 진산면 행정리 55-1,1,2,,36.14783464,127.33764
개방화장실,현내리마을회관,충남 금산군 부리면 현내로 59,1,1,,36.05997169,127.5561857
공중화장실,상지말저수지,충남 금산군 금산읍 아인리 449-3,1,1,,36.10785966,127.4664289
공중화장실,음지리(데크길),충남 금산군 금산읍 양지리 433-81,1,3,,36.10006204,127.4564606
공중화장실,인삼약초시장,충남 금산군 금산읍 중도리 22-1,4,7,,36.09983534,127.4970169
공중화장실,한길공원,충남 금산군 금산읍 상리176-87,1,1,,36.10387147,127.4880109
간이화장실,철새도래지구3,충남 서천군 한산면 신성리 158-4,2,2,,36.0678347,126.8610529
공중화장실,판교특화음식촌 주차장 화장실,충남 서천군 판교면 종판로 882-8,2,2,, 36.1534881852438,126.6883945
공중화장실,한산 모시관주차장,충남 서천군 한산면 지현리 60-1,3,5,,36.08039761,126.8003545
공중화장실,춘장대5,충남 서천군 서면 춘장대길151번길17,7,9,,36.16619589,126.5270101
공중화장실,어린이 공원,충남 논산시 내동 1070,1,2,,36.19129986,127.090755
개방화장실,양촌반곡농협,충남 논산시 양촌면 반곡리 254-4,2,3,(평일)09:00~18:00,36.18193531,127.2034435
공중화장실,진말 공중화장실,충남 보령시 오천면 원산도리 1858,2,1,,36.37348519,126.4089179
