구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","카네이션요양원","강원특별자치도 양구군 국토정중앙면 정중앙로 195 카네이션요양원","1","2","2","09:00~18:00",38.079939,128.0174566
"개방화장실","로뎀의촌","강원특별자치도 양구군 양구읍 도사리길 105 로뎀의촌","1","1","2","",38.1658161,127.9962029
"개방화장실","양구군생활이동지원센터","강원특별자치도 양구군 양구읍 비봉로73번길 12 양구군생활이동지원센터","1","2","3","09:00~18:00",38.1087518,127.9863823
"개방화장실","양구장례식장","강원특별자치도 양구군 양구읍 금강산로 518-25 양구장례식장","1","3","4","09:00~18:00",38.123141,127.9985304
"개방화장실","양구군청 본관","강원특별자치도 양구군 양구읍 관공서로 38 양구군청 본관","2","3","3","09:00~18:00",38.1099202,127.9900006
"개방화장실","양구군청 제2본관","강원특별자치도 양구군 양구읍 관공서로 38 양구군청 제2본관","3","1","1","09:00~18:00",38.1099202,127.9900006
"개방화장실","양록정궁도장","강원특별자치도 양구군 양구읍 파로호로 993-21 양록정궁도장","1","2","2","09:00~18:00",38.11309,127.9817
"개방화장실","양구군정 제2본관","강원특별자치도 양구군 양구읍 관공서로 38 양구군정 제2본관","2","4","4","09:00~18:00",38.1099202,127.9900006
"개방화장실","양구군청 별관","강원특별자치도 양구군 양구읍 관공서로38번길 15 양구군청 별관","3","1","1","09:00~18:00",38.1099367,127.991324
"개방화장실","양구군의회","강원특별자치도 양구군 양구읍 관공서로 38 양구군의회","2","2","2","09:00~18:00",38.1099202,127.9900006
"개방화장실","양구군청 공감카페","강원특별자치도 양구군 양구읍 관공서로 38 양구군청 공감카페","1","1","2","09:00~18:00",38.109986189064,127.989945522474
"개방화장실","청춘체육관","강원특별자치도 양구군 양구읍 함춘로 64 청춘체육관","1","4","5","09:00~22:00",38.11423,127.9871
"개방화장실","역도워밍업장","강원특별자치도 양구군 국토정중앙면 정중앙로 624-18 역도워밍업장","1","3","3","09:00~18:00",38.1085902659847,128.03494066215
"개방화장실","해안정궁도장","강원특별자치도 양구군 해안면 해안서화로 83-19 해안정궁도장","1","1","1","09:00~18:00",38.28631,128.149
"개방화장실","양구종합운동장","강원특별자치도 양구군 양구읍 함춘로 25-9 양구종합운동장","1","5","11","",38.10927,127.9856
"개방화장실","정림리테니스장","강원특별자치도 양구군 양구읍 정림리 103 정림리테니스장","1","1","2","09:00~18:00",38.09669,127.9854
"개방화장실","양구국민체육센터","강원특별자치도 양구군 양구읍 박수근로 366-33 양구국민체육센터","1","6","6","09:00~18:00",38.10632,127.9815
"개방화장실","양구문화체육회관","강원특별자치도 양구군 양구읍 양록길23번길 17 양구문화체육회관","1","6","6","09:00~18:00",38.10836,127.9844
"개방화장실","청소년수련관 본관","강원특별자치도 양구군 양구읍 박수근로 366-27 청소년수련관 본관","3","4","3","09:00~18:00",38.1056162,127.9816774
"개방화장실","레포츠공원 청춘크루즈 옆","강원특별자치도 양구군 양구읍 박수근로 366-11 레포츠공원 청춘크루즈 옆","1","2","5","",38.1042892,127.9825367
"개방화장실","양구군수어통역센터","강원특별자치도 양구군 양구읍 비봉로73번길 12 양구군수어통역센터","1","2","3","09:00~18:00",38.1087518,127.9863823
"개방화장실","양구노인종합복지센터","강원특별자치도 양구군 양구읍 비봉로 46 양구노인종합복지센터","1","4","7","09:00~18:00",38.1063895,127.9873795
"개방화장실","양구여성회관","강원특별자치도 양구군 양구읍 양록길 60 양구여성회관","1","4","6","09:00~18:00",38.1064,127.987383
"간이화장실","월명리 간이","강원특별자치도 양구군 양구읍 월명리 383 월명리 간이","1","1","1","09:00~18:00",38.1025953,127.92014
