구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","상수도사업본부 북부사업소","광주 북구 용봉로 111 상수도사업본부 북부사업소","1","2","2","09:00~18:00",35.1727226978381,126.90892031056
"개방화장실","서광주IC주유소","광주 북구 하서로 47 서광주IC주유소","1","1","1","",35.1807679148448,126.880484779181
"개방화장실","서림주유소","광주 북구 무등로 126 서림주유소","1","1","1","",35.1670557988575,126.897663685673
"개방화장실","석곡동 행정복지센터","광주 북구 석곡로 634 석곡동 행정복지센터","1","4","4","09:00~18:00",35.2150145738127,126.950043456938
"개방화장실","성실주유소","광주 북구 우치로 347 성실주유소","1","2","2","",35.1955383815417,126.90371392132
"개방화장실","세본주유소","광주 북구 용주로 21 세본주유소","1","1","1","",35.1814856502277,126.900398927746
"개방화장실","세오 직영 미래주유소","광주 북구 임방울대로 979 세오 직영 미래주유소","1","2","1","",35.2149182570796,126.86492703839
"개방화장실","솔로몬파크 체험관","광주 북구 오문로 244 솔로몬파크 체험관","1","3","9","09:30~17:00",35.189151691703,126.930974580398
"개방화장실","쉐보레동광주서비스센터","광주 북구 오문로 234 쉐보레동광주서비스센터","1","2","2","08:30~18:00",35.1894683161886,126.930307406374
"개방화장실","스피드메이트 광주역점","광주 북구 무등로 218 스피드메이트 광주역점","1","1","1","07:00~19:00",35.1644211087065,126.907267422768
"개방화장실","각화도매시장 정문","광주 북구 동문대로 260 각화도매시장 정문","1","10","14","09:00~18:00",35.1839036690447,126.935780108417
"개방화장실","각화도매시장 중앙청과","광주 북구 동문대로 260 각화도매시장 중앙청과","1","4","5","09:00~18:00",35.1839036690447,126.935780108417
"개방화장실","각화도매시장 채소2경매장","광주 북구 동문대로 260 각화도매시장 채소2경매장","1","4","4","09:00~18:00",35.1839036690447,126.935780108417
"개방화장실","각화종합사회복지관","광주 북구 군왕로207번길 20 각화종합사회복지관","1","2","1","09:00~18:00",35.18068797,126.9340719
"공중화장실","강변공원","광주 북구 추암로 190 강변공원","1","3","3","",35.23301873,126.8663366
"개방화장실","건국동 행정복지센터","광주 북구 본촌마을길 25 건국동 행정복지센터","1","2","2","09:00~18:00",35.2229359594613,126.881646297157
"개방화장실","경기장주유소","광주 북구 무등로 76 경기장주유소","1","1","2","",35.1684549394622,126.892418835965
"개방화장실","광산업단지 충전소","광주 북구 삼소로 330 광산업단지 충전소","1","2","1","",35.2406975913088,126.869733565375
"개방화장실","광주개인택시조합LPG충전소","광주 북구 하서로 576 광주개인택시조합LPG충전소","1","1","1","",35.2248075072873,126.882836270393
"개방화장실","광주광역시립민속박물관","광주 북구 서하로 48-25 광주광역시립민속박물관","1","4","4","09:00~18:00",35.1844161656366,126.888436361449
"개방화장실","광주광역시종합복지관","광주 북구 북문대로 219 광주광역시종합복지관","1","12","15","09:00~18:00",35.1851794536107,126.867851142327
"개방화장실","광주굿모닝병원","광주 북구 북문대로 182 광주굿모닝병원","1","3","3","09:00~18:00",35.1848551248329,126.871347619862
"개방화장실","광주도시철도공사","광주 북구 금남로 133 광주도시철도공사","1","7","9","",35.1545529,126.9092499
"개방화장실","광주동림동우체국","광주 북구 북문대로 238 광주동림동우체국","1","2","2","09:00~18:00",35.1870709190719,126.866347201934
"개방화장실","광주두암1동우체국","광주 북구 군왕로 95-1 광주두암1동우체국","1","2","2","09:00~18:00",35.1698174212603,126.932425952593
"개방화장실","광주두암동우체국","광주 북구 동문대로 160 광주두암동우체국","1","2","2","09:00~18:00",35.176645702518,126.928429044254
"공중화장실","두물머리","광주 북구 서암대로 323 두물머리","1","2","1","",35.1651965713088,126.918990789647
"공중화장실","산월교좌","광주 북구 하서로 381 산월교좌","1","2","4","",35.2089327940306,126.873483158603
"공중화장실","용전동","광주 북구 비엔날레로 192 용전동","1","2","4","",35.1828944307907,126.898077168839
"공중화장실","신용교","광주 북구 오치동 853-2 신용교","1","2","4","",35.184279857783174,126.8987737027186
"공중화장실","광신대교","광주 북구 하서로 211 광신대교","1","2","4","",35.1943649895683,126.876754062375
"개방화장실","광주매곡동우체국","광주 북구 서하로 88 광주매곡동우체국","1","2","1","09:00~18:00",35.1872227588208,126.890060987545
"개방화장실","광주문흥동우체국","광주 북구 대천로 140-1 광주문흥동우체국","1","1","1","09:00~18:00",35.186855253274,126.921277925684
"개방화장실","광주본촌동우체국","광주 북구 본촌마을길 95 광주본촌동우체국","1","1","1","09:00~18:00",35.219725323276,126.880060839855
"개방화장실","광주양산동우체국","광주 북구 하서로 349 광주양산동우체국","1","2","2","09:00~18:00",35.2061748947381,126.873106912507
"개방화장실","광주역","광주 북구 무등로 235 광주역","1","15","19","",35.1658761459361,126.909739548109
"개방화장실","광주오치동우체국","광주 북구 서하로 241 광주오치동우체국","1","1","1","09:00~18:00",35.1872936385859,126.906873525957
