구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,은척면행정복지센터 북부출장소,경북 상주시 은척면 무릉2길 1 은척면행정복지센터 북부출장소,1,2,2,영업시간,36.577225,128.087704
공중화장실,성주봉쉼터휴게소,경북 상주시 은척면 성주로 469 성주봉쉼터휴게소,1,3,4,,36.539358,128.043859
공중화장실,동학교당주차장,경북 상주시 은척면 성주로 627 동학교당주차장,1,3,5,,36.537711,128.059111
개방화장실,중동면행정복지센터,경북 상주시 중동면 공산로 9 중동면행정복지센터,1,2,2,09:00~18:00,36.426288,128.271514
공중화장실,상도세트장,경북 상주시 중동면 갱다불길 147 상도세트장,1,1,1,,36.4465,128.2642
개방화장실,이안면보건지소,경북 상주시 이안면 양범안룡길 46 이안면보건지소,1,1,2,09:00~18:00,36.579468,128.145559
공중화장실,GS칼텍스 서곡주유소,경북 상주시 식산로 169 GS칼텍스 서곡주유소,1,1,1,12시간,36.411039,128.182264
공중화장실,SK 남부주유소,경북 상주시 선상서로 2693 SK 남부주유소,1,1,1,12시간,36.396887,128.173271
개방화장실,상주원예농협,경북 상주시 중앙로 310 상주원예농협,1,9,5,09:00~18:00,36.416049,128.173357
개방화장실,SC제일은행 상주지점,경북 상주시 중앙로 224 SC제일은행 상주지점,1,4,4,09:00~18:00,36.415674,128.163021
개방화장실,상주경찰서,경북 상주시 중앙로 230 상주경찰서,1,7,8,(평일)09:00-18:00,36.4157202,128.1634461
개방화장실,동성동 행정복지센터,경북 상주시 성동새싹길 42 동성동 행정복지센터,1,6,4,09:00~18:00,36.415308,128.169769
개방화장실,내서면행정복지센터,경북 상주시 내서면 신촌2길 8 내서면행정복지센터,1,3,4,09:00~18:00,36.412256,128.067544
개방화장실,내서면복지회관,경북 상주시 내서면 낙서1길 26 내서면복지회관,1,1,2,,36.399471,128.029954
공중화장실,낙서정류장,경북 상주시 내서면 낙서1길 69 낙서정류장,1,2,4,,36.401614,128.026145
공중화장실,고향산천휴게소,경북 상주시 내서면 영남제일로 2428 고향산천휴게소,1,2,6,,36.410314,128.084862
공중화장실,능암주유소,경북 상주시 내서면 능암2길 2 능암주유소,1,1,1,,36.407179,128.094262
공중화장실,신일주유소,경북 상주시 내서면 낙서1길 68-1 신일주유소,1,1,1,,36.401881,128.026511
공중화장실,밤원주유소,경북 상주시 내서면 영남제일로 3659 밤원주유소,1,1,1,,36.438346,128.003119
개방화장실,상주유아교육체험센터,경북 상주시 내서면 영남제일로 2521 상주유아교육체험센터,1,1,6,근무시간중 개방,36.410996,128.07494
공중화장실,상주제일병원,경북 상주시 내서면 영남제일로 3659 상주제일병원,1,1,3,,36.438346,128.003119
공중화장실,묘봉 빨간장터,경북 상주시 화북면 운흥리 3-2 묘봉 빨간장터,1,1,3,,36.601259,127.828242
공중화장실,묘봉 문화탐방로드,경북 상주시 화북면 운흥리 543 묘봉 문화탐방로드,1,1,2,,36.595105,127.813729
공중화장실,모서면 농산물산지유통센터,경북 상주시 모서면 삼포리 46-1 모서면 농산물산지유통센터,1,2,5,,36.34337,127.967697
공중화장실,모동면 다목적광장,경북 상주시 모동면 중화로 615-4 모동면 다목적광장,1,1,5,,36.3196,127.9612
개방화장실,어린이자전거체험장,경북 상주시 용마로 415 어린이자전거체험장,1,3,7,09:00~18:00(근무시간중 개방),36.453228,128.25506
개방화장실,자전거박물관,경북 상주시 용마로 415 자전거박물관,2,2,3,09:00~18:00(근무시간중 개방),36.453228,128.25506
이동화장실,평산리 어만각,경북 상주시 화동면 눌하로 42 평산리 어만각,1,1,1,,36.379167,127.891955
이동화장실,평산리 도계 소공원,경북 상주시 화동면 평산리 294-1 평산리 도계 소공원,1,1,1,,36.3643,127.888
이동화장실,신촌리 자연대보 옆,경북 상주시 화동면 신촌리 164-2 신촌리 자연대보 옆,1,1,1,,36.377156,127.957787
이동화장실,다목적광장2,경북 상주시 화동면 이소3길 15 다목적광장2,1,1,1,,36.3876,127.9508
이동화장실,다목적광장1,경북 상주시 화동면 이소3길 15 다목적광장1,1,1,1,,36.387911,127.950518
이동화장실,양지저수지,경북 상주시 화동면 보미리 산 58 양지저수지,1,1,1,,36.35867,127.915935
이동화장실,보미저수지,경북 상주시 화동면 보미리 산 49-1 보미저수지,1,1,1,,36.3665,127.91815
이동화장실,반곡저수지,경북 상주시 화동면 반곡리 산 15-6 반곡저수지,1,1,1,,36.38936,127.929922
이동화장실,신의터재,경북 상주시 화동면 선교리 884 신의터재,1,1,1,,36.3938,127.9699
이동화장실,판곡저수지2,경북 상주시 화동면 판곡리 산 136-1 판곡저수지2,1,1,1,,36.4265,127.9816
이동화장실,판곡저수지1,경북 상주시 화동면 판곡리 산 126-3 판곡저수지1,1,1,1,,36.42215,127.981092
개방화장실,화남면행정복지센터,경북 상주시 화남면 평온동관로 3 화남면행정복지센터,1,3,1,09:00~18:00,36.448242,127.905513
간이화장실,학전망대 간이,경북 상주시 중동면 회상리 산 200-11 학전망대 간이,1,1,1,,36.442632,128.267563
간이화장실,중동교 간이,경북 상주시 중동면 신암리 175-4 중동교 간이,1,1,1,,36.4054,128.3066
간이화장실,개암정 간이,경북 상주시 중동면 회상리 1436 개암정 간이,1,1,1,,36.45685884,128.2558643
공중화장실,낙동강 투어로드,경북 상주시 중동면 오상리 산 61-6 낙동강 투어로드,1,1,3,09:00~18:00,36.43633,128.268355
개방화장실,중동농협,경북 상주시 중동면 오상1길 25 중동농협,1,1,2,09:00~18:00,36.427444,128.269725
개방화장실,중동면보건지소,경북 상주시 중동면 오상1길 22-2 중동면보건지소,1,1,1,09:00~18:00,36.427023,128.269072
공중화장실,모서농협주유소,경북 상주시 모서면 백화로 1433 모서농협주유소,1,1,2,12시간,36.342381,127.965822
공중화장실,현대오일뱅크모서주유소,경북 상주시 모서면 백화로 1489 현대오일뱅크모서주유소,1,1,1,12시간,36.34564485,127.9702634
공중화장실,서울주유소,경북 상주시 모서면 백화로 1362 서울주유소,1,1,1,12시간,36.342129,127.958146
개방화장실,모서면 보건지소,경북 상주시 모서면 삼포3길 26 모서면 보건지소,1,1,1,09:00~18:00,36.341491,127.962147
개방화장실,모서면 행정복지센터,경북 상주시 모서면 중화로 901 모서면 행정복지센터,1,2,2,09:00~18:00,36.342453,127.960104
개방화장실,행복광장,경북 상주시 모서면 삼포리 46-1 행복광장,1,2,2,,36.34331,127.9676
개방화장실,계림동사무소,경북 상주시 냉림1길 50 계림동사무소,1,1,3,,36.42208,128.164331
공중화장실,중덕지,경북 상주시 발산로 280-14 중덕지,1,2,5,,36.4467,128.1842
공중화장실,북천,경북 상주시 계산8길 3 북천,1,3,6,,36.42408954,128.1738524
이동화장실,상산교 옆 게이트 볼장2,경북 상주시 냉림동 90-2 상산교 옆 게이트 볼장2,1,1,1,,36.423029,128.167392
이동화장실,이동식,경북 상주시 영남제일로 1628 이동식,1,1,1,,36.425086,128.164972
이동화장실,상산교 옆 게이트 볼장1,경북 상주시 냉림동 90-2 상산교 옆 게이트 볼장1,1,1,1,,36.423029,128.167392
이동화장실,이동식,경북 상주시 냉림동 95-1 이동식,1,1,1,,36.425462,128.163671
공중화장실,상주박물관 야외,경북 상주시 사벌국면 경천로 684 상주박물관 야외,1,4,8,,36.459164,128.24035
공중화장실,GS칼텍스 옥산주유소,경북 상주시 공성면 공성중앙로 66 GS칼텍스 옥산주유소,1,1,1,09:00~18:00,36.2832,128.093
개방화장실,공성 파출소,경북 상주시 공성면 공성중앙로 99 공성 파출소,1,1,1,,36.2848,128.093
개방화장실,공성농협본점,경북 상주시 공성면 공성중앙로 96 공성농협본점,1,2,2,09:00~18:00,36.2843,128.094
개방화장실,공성면보건지소,경북 상주시 공성면 공성중앙로 61 공성면보건지소,1,1,1,09:00~18:00,36.2831,128.093
간이화장실,지평보 간이,경북 상주시 공검면 지평리 845 지평보 간이,1,1,1,,36.533834,128.109232
간이화장실,지평교 간이,경북 상주시 공검면 지평리 840-1 지평교 간이,1,1,1,,36.539812,128.107294
간이화장실,소갯보 간이,경북 상주시 공검면 중소리 884-1 소갯보 간이,1,1,1,,36.51665,128.108369
간이화장실,중소1교 간이,경북 상주시 공검면 중소리 884-1 중소1교 간이,1,1,1,,36.51665,128.108369
간이화장실,염소목 간이,경북 상주시 공검면 중소리 804-2 염소목 간이,1,1,1,,36.51123598,128.1028776
간이화장실,쉼터 간이,경북 상주시 공검면 중소리 736 쉼터 간이,1,1,1,,36.528314,128.111419
간이화장실,용머리 간이,경북 상주시 공검면 오태리 918-1 용머리 간이,1,1,1,,36.492692,128.11588
간이화장실,중소리 간이,경북 상주시 공검면 중소리 269-1 중소리 간이,1,1,1,,36.509882,128.11051
간이화장실,오태2리삼거리 간이,경북 상주시 공검면 오태리 56-4 오태2리삼거리 간이,1,1,1,,36.488654,128.133492
간이화장실,금사보 간이,경북 상주시 공검면 예주리 873 금사보 간이,1,1,1,,36.53882,128.117913
간이화장실,홍촌 간이,경북 상주시 공검면 예주리 833-5 홍촌 간이,1,1,1,,36.546452,128.114654
간이화장실,금사보 간이,경북 상주시 공검면 예주리 700-4 금사보 간이,1,1,1,,36.538788,128.119797
간이화장실,청암서원 간이,경북 상주시 공검면 예주리 684-2 청암서원 간이,1,1,1,,36.539392,128.123805
간이화장실,청암서원 간이,경북 상주시 공검면 예주리 251-6 청암서원 간이,1,1,1,,36.541607,128.125448
간이화장실,공검지 간이,경북 상주시 공검면 양정리 196 공검지 간이,1,1,1,,36.512132,128.163052
간이화장실,버스정류장 간이,경북 상주시 공검면 양정리 2-4 버스정류장 간이,1,1,1,,36.511533,128.16314
개방화장실,중소보건진료소,경북 상주시 공검면 비재로 733 중소보건진료소,1,1,1,9시간,36.519044,128.114516
개방화장실,공검면보건지소,경북 상주시 공검면 양정2길 17-6 공검면보건지소,1,2,2,9시간,36.51052,128.1594
개방화장실,공검농업협동조합,경북 상주시 공검면 비재로 1301 공검농업협동조합,1,1,2,(평일)09:00~18:00,36.51264,128.158151
개방화장실,공검면행정복지센터,경북 상주시 공검면 비재로 1308 공검면행정복지센터,1,3,3,13시간,36.51217,128.1587
간이화장실,중동제,경북 상주시 중동면 오상리 1104 중동제,1,1,1,,36.429169,128.240779
간이화장실,국궁장,경북 상주시 중동면 죽암리 333-2 국궁장,1,2,1,,36.412245,128.263826
공중화장실,상주보주차장,경북 상주시 도남동 265-2 상주보주차장,1,1,2,,36.436862,128.248401
공중화장실,강창나루공원,경북 상주시 중동면 죽암리 1417-6 강창나루공원,1,2,3,,36.413336,128.246303
공중화장실,낙단나래공원,경북 상주시 낙동면 낙동리 567 낙단나래공원,1,2,4,,36.358964,128.29909
공중화장실,북천 물놀이장,경북 상주시 만산동 744 북천 물놀이장,1,1,3,,36.42574,128.1518
개방화장실,상주소방서,경북 상주시 상산로 322 상주소방서,1,2,2,,36.419623,128.159447
개방화장실,동문지구대,경북 상주시 중앙로 371 동문지구대,2,1,1,,36.418209,128.17915
개방화장실,동문동 행정복지센터,경북 상주시 복룡2길 23 동문동 행정복지센터,1,2,1,09:00-18:00,36.417397,128.169226
공중화장실,팔음산극락암,경북 상주시 모서면 쇠실길 46 팔음산극락암,1,1,3,,36.356815,127.918819
개방화장실,모서면 행정복지센터 서부출장소,경북 상주시 모서면 백화로 366-10 모서면 행정복지센터 서부출장소,1,1,1,10시간,36.30681099,127.8710225
