구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","경마공원역","경기 과천시 경마공원대로 지하 105 경마공원역","1","6","12","05:00-24:00",37.443987,127.007899
"공중화장실","대공원역","경기 과천시 대공원대로 지하 50 대공원역","1","5","7","",37.435724,127.006474
"공중화장실","과천역","경기 과천시 별양로 지하 177 과천역","1","5","5","05:00-24:00",37.433205,126.996404
"공중화장실","정부과천청사역","경기 과천시 중앙로 지하 100 정부과천청사역","1","4","5","",37.426445,126.989802
"공중화장실","국립현대미술관","경기 과천시 광명로 313 국립현대미술관","1","20","40","",37.4310034306829,127.019929893981
"공중화장실","경마공원","경기 과천시 경마공원대로 107","1","15","10","",37.44309123,127.0175191
"공중화장실","정부과천종합청사 고객안내센터","경기 과천시 관문로 47 정부과천종합청사 고객안내센터","1","6","5","09:00~18:00",37.4262916,126.985773
"공중화장실","국립과천과학관","경기 과천시 상하벌로 110 국립과천과학관","1","97","185","09:00~18:00",37.4385349,127.0055434
"공중화장실","수자원공사수도권통합운영센터","경기 과천시 교육원로 11 수자원공사수도권통합운영센터","1","38","32","'(평일) 09:00~18:00+(주말)미개방",37.422968167086,126.988186117609
"공중화장실","과천소방서","경기 과천시 통영로 12 과천소방서","1","10","6","09:00~18:00",37.42855606,126.9905201
"공중화장실","과천우체국","경기 과천시 별양로 54 과천우체국","1","2","2","09:00~18:00",37.4237963,126.9935946
"공중화장실","국사편찬위원회","경기 과천시 교육원로 86 국사편찬위원회","1","20","27","09:00~18:00",37.4247,126.98
"개방화장실","8단지 남서울상가","경기 과천시 부림로 16 8단지 남서울상가","1","4","4","06:00~22:00",37.4346249,126.9995783
"개방화장실","현대빌딩","경기 과천시 중앙로 131 현대빌딩","1","4","4","06:00~24:00",37.4283897,126.991341
"개방화장실","중앙빌딩","경기 과천시 새술막길 38 중앙빌딩","1","3","4","",37.42899274,126.9914552
"개방화장실","제일쇼핑","경기 과천시 별양상가2로 14 제일쇼핑","1","14","15","'1,3주 일요일 외 개방 '10:00~20:00",37.42733186,126.9930036
"개방화장실","제일상가","경기 과천시 별양상가1로 31 제일상가","1","12","12","",37.42871174,126.9931864
"개방화장실","유니온빌딩","경기 과천시 별양상가3로 5 유니온빌딩","1","7","9","B1(00:00~24:00)+1층(07:00~20:00)",37.42665685,126.9911433
"개방화장실","신라상가","경기 과천시 별양상가1로 37 신라상가","1","2","3","",37.42842588,126.9937874
"개방화장실","시대빌딩","경기 과천시 별양로 182-2 시대빌딩","1","2","4","",37.43409609,126.9981575
"개방화장실","선암주유소","경기 과천시 중앙로 534 선암주유소","1","1","1","",37.45595192,127.0105055
"개방화장실","새서울프라자","경기 과천시 별양상가2로 20 새서울프라자","1","7","10","'(평일)10:00-20:00+미개방(1,3,5일요일)",37.42682517,126.9925549
"개방화장실","상아빌딩","경기 과천시 별양상가1로 35 상아빌딩","1","4","4","",37.42854208,126.9935606
"개방화장실","벽산상가","경기 과천시 별양상가로 7 벽산상가","1","17","24","",37.42799856,126.9929313
"개방화장실","백두상가","경기 과천시 별양상가1로 38 백두상가","1","6","6","06:00~25:00",37.42816352,126.9935631
