구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,옥계해수욕장,경남 거제시 하청면 칠천로 265-17 옥계해수욕장,1,4,5,,34.97821384,128.6308942
공중화장실,송포항,경남 거제시 하청면 대곡리 1022 송포항,1,2,4,,35.01141926,128.6409483
간이화장실,해안물양장,경남 거제시 하청면 연하해안로 2-80 해안물양장,1,1,2,,34.9635159,128.6254899
간이화장실,덕곡물양장,경남 거제시 하청면 덕곡3길 37 덕곡물양장,1,1,1,,34.96340859,128.6170636
간이화장실,맹종죽테마파크1,경남 거제시 하청면 실전리 산 94-2 맹종죽테마파크1,1,1,1,,34.96678826,128.6597661
간이화장실,장곶 물양장,경남 거제시 하청면 어온4길 13 장곶 물양장,1,1,1,,34.98162446,128.6466844
간이화장실,연구물양장1,경남 거제시 하청면 연구리 713-6 연구물양장1,1,1,1,,34.99823608,128.6270096
간이화장실,산수가든 위,경남 거창군 북상면 산수리 874-1 산수가든 위,1,1,1,,35.791512,127.759409
간이화장실,회암대,경남 거창군 북상면 산수병곡길 151 회암대,1,1,2,,35.779344,127.768569
간이화장실,산수입구,경남 거창군 북상면 덕유월성로 1718 산수입구,1,1,2,,35.766921,127.768118
간이화장실,소정마을,경남 거창군 북상면 송계로 1243-7 소정마을,1,1,1,,35.82048908,127.8121078
간이화장실,송계사 입구,경남 거창군 북상면 소정리 1698-1 송계사 입구,1,1,2,,35.832699,127.799513
공중화장실,사선대,경남 거창군 북상면 덕유월성로 1290 사선대,1,3,4,,35.765436,127.729295
공중화장실,월성숲 아래,경남 거창군 북상면 월성리 1858 월성숲 아래,1,1,1,,35.764139,127.753776
간이화장실,월성공원,경남 거창군 북상면 월성리 376 월성공원,1,1,3,,35.76346798,127.7458825
공중화장실,강선대,경남 거창군 북상면 덕유월성로 2182-1 강선대,1,2,2,,35.774815,127.804841
간이화장실,내계폭포위,경남 거창군 북상면 계수나무길 703-7 내계폭포위,1,1,1,,35.73641749,127.739213
공중화장실,분설담,경남 거창군 북상면 창선리 268-1 분설담,1,1,2,,35.763271,127.769836
공중화장실,덕천서원,경남 거창군 거창읍 장팔길 594 덕천서원,1,1,1,,35.6604897,127.8911219
간이화장실,청사정,경남 거창군 북상면 월성리 843 청사정,1,1,2,,35.76016114,127.7389741
간이화장실,하창선,경남 거창군 북상면 창선리 217-1 하창선,1,1,2,,35.769564,127.783087
공중화장실,상창선,경남 거창군 북상면 창선리 290-3 상창선,1,1,2,,35.765285,127.778577
공중화장실,황점주차장,경남 거창군 북상면 월성리 1783-3 황점주차장,1,3,4,,35.77,127.717933
개방화장실,고현정류장,경남 거제시 고현천로 10 고현정류장,1,1,1,09:00~18:00,34.89094567,128.6241895
개방화장실,옥포시장,경남 거제시 옥포로19길 6 옥포시장,1,1,1,09:00~18:00,34.89434681,128.6902664
개방화장실,한라프라자,경남 거제시 거제중앙로 1906 한라프라자,1,1,1,09:00~18:00,34.88820439,128.6235602
