구분,화장실명,소재지도로명주소,층수,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,진촌시장 공중화장실,인천광역시 옹진군 백령면 백령로278번길 13,1,2,4,,37.9719,124.7205
공중화장실,두무진 선착장 공중화장실,인천광역시 옹진군 백령면 두무진로 550-16,1,6,8,,37.97404,124.6225
공중화장실,중화동 공중화장실,인천광역시 옹진군 백령면 중화2길 3,1,2,5,,37.92467,124.656
공중화장실,장촌 공중화장실,인천광역시 옹진군 백령면 장촌길 168-5,1,1,2,,37.92202,124.6763
공중화장실,콩돌해안 공중화장실,인천광역시 옹진군 백령면 콩돌로 183,1,2,8,,37.92964,124.7027
공중화장실,종합운동장 공중화장실,인천광역시 옹진군 백령면 백령남로 458,1,4,9,,37.93929,124.6989
공중화장실,사곶 해수욕장 쉼터 공중화장실,인천광역시 옹진군 백령면 사곶로 139,1,3,4,,37.95159,124.7209
공중화장실,용기포 선착장 공중화장실,인천광역시 옹진군 백령면 백령로 8,1,6,8,,37.9518,124.7341
공중화장실,끝섬 전망대 공중화장실,인천광역시 옹진군 백령면 백령로 114-379,1,2,4,,37.9596355,124.7461439
개방화장실,백령119안전센터,인천광역시 옹진군 백령면 백령남로 30,1,4,1,09:00~18:00,37.9674566,124.7207451
공중화장실,중화동 교회 공중화장실(주차장),인천광역시 옹진군 백령면 중화2길 147,1,2,3,,37.92817,124.651
공중화장실,콩돌포구(오군포) 공중화장실,인천광역시 옹진군 백령면 백령남로 563,1,2,3,,37.92327,124.6984
개방화장실,가을보건진료소 화장실,인천광역시 옹진군 백령면 백령로938번길 71,1,1,1,09:00~18:00,37.9523021,124.6560072
개방화장실,백령보건지소 화장실,인천광역시 옹진군 백령면 백령로833번길 26-29,1,3,3,09:00~18:00,37.95797,124.66468
공중화장실,진촌리현무암(하늬해변) 공중화장실,인천광역시 옹진군 백령면 백령로 278,1,1,2,,37.97189,124.7308
공중화장실,고봉포 공중화장실,인천광역시 옹진군 백령면 백령로 380,1,1,2,,37.98214,124.6986
공중화장실,사항포구 공중화장실,인천광역시 옹진군 백령면 가을길 117,1,1,1,,37.97276,124.6517
공중화장실,중화동 교회공중화장실,인천광역시 옹진군 백령면 중화2길 118,1,2,3,,37.92825,124.6514
공중화장실,중화동 포구 공중화장실,인천광역시 옹진군 백령면 중화2길 145,1,1,2,,37.92266,124.6564
공중화장실,용트림 공중화장실,인천광역시 옹진군 백령면 백령남로 723,1,1,3,,37.92012,124.671
개방화장실,서부지구지소,인천광역시 옹진군 백령면 백령로 262,1,1,1,09:00~18:00,37.9702522,124.7223496
개방화장실,백령파출소,인천광역시 옹진군 백령면 백령로278번길 57,1,1,2,09:00~18:00,37.9737087,124.7209472
개방화장실,백령면사무소,인천광역시 옹진군 백령면 백령로278번길 61-2,1,5,8,09:00~18:00,37.9742219,124.7213638
개방화장실,백령도서관,인천광역시 옹진군 백령면 백령로 260,1,4,5,09:00~18:00,37.9702967,124.722708
공중화장실,심청각 공중화장실,인천광역시 옹진군 백령면 백령로316번길 109-117,1,3,3,,37.9795632,124.716476
개방화장실,수도권매립지관리공사 테니스장,인천 서구 왕길동 603-1,,3,6,09:00~18:00,37.58405501,126.6359921
