구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","인제고등학교","인천 남동구 석산로197번길 19 인제고등학교","1","56","8","09:00~17:00",37.4616,126.7134
"공중화장실","서창2동 행정복지센터","인천 남동구 서창남순환로 43 서창2동 행정복지센터","1","7","13","(평일)08:30~18:00",37.4278,126.7509
"공중화장실","만수4동 행정복지센터","인천 남동구 만수로50번길 39 만수4동 행정복지센터","1","3","5","(평일)08:30~18:00",37.4595,126.7357
"공중화장실","남동종합문화체육광장1","인천 남동구 장승남로 12 남동종합문화체육광장1","1","1","2","06:00~22:00",37.4417,126.7339
"공중화장실","남동종합문화체육광장2","인천 남동구 장승남로 12 남동종합문화체육광장2","1","1","2","06:00~22:00",37.4417,126.7339
"공중화장실","남동문화체육광장","인천 남동구 장승남로 11 남동문화체육광장","1","1","1","06:00~22:00",37.4439,126.7334
"공중화장실","소래샛길 체육시설","인천 남동구 인주대로820번길 75 소래샛길 체육시설","1","1","1","06:00~22:00",37.4453,126.7314
"공중화장실","현대오일뱅크 직영 수인주유소","인천 남동구 백범로 255 현대오일뱅크 직영 수인주유소","1","3","2","05:00~23:00",37.4605801067242,126.720823763719
"공중화장실","박문석유구월주유소","인천 남동구 인주대로 512 박문석유구월주유소","1","1","1","07:00~23:00",37.4500893099746,126.693453909494
"공중화장실","만수동 셀프주유소","인천 남동구 구월로 371 만수동 셀프주유소","1","1","1","06:00~24:00",37.4552964111788,126.73199640945
"공중화장실","현대주유소","인천 남동구 백범로 85 현대주유소","1","1","1","05:00~24:00",37.4524818741483,126.736461497391
"공중화장실","중앙에너비스남동공단지점","인천 남동구 남동대로 258 중앙에너비스남동공단지점","1","2","2","05:00~24:00",37.407383311184,126.700261426448
"공중화장실","현대오일뱅크 직영공단1주유소","인천 남동구 남동대로 367 현대오일뱅크 직영공단1주유소","1","1","1","06:00~22:00",37.4161526477687,126.705646335938
"공중화장실","현대오일뱅크고잔주유소","인천 남동구 논현고잔로 156 현대오일뱅크고잔주유소","1","1","1","",37.3964834489281,126.715590502739
"공중화장실","한사랑주유소","인천 남동구 인주대로 774 한사랑주유소","1","1","1","05:00~24:00",37.4486111174486,126.723212001416
"공중화장실","유카스에너지","인천 남동구 장수로 2-2 유카스에너지","1","1","1","05:00~24:00",37.4495515278761,126.749816392176
"공중화장실","인주대로주유소","인천 남동구 인주대로 858 인주대로주유소","1","1","1","05:00~01:00",37.4480966034449,126.732628626501
"공중화장실","지에스칼텍스 논현신도시주유소","인천 남동구 청능대로 469 지에스칼텍스 논현신도시주유소","1","2","2","06:00~24:00",37.3992,126.7113
"공중화장실","호구포역","인천 남동구 호구포로 205 호구포역","1","9","21","05:00~24:00",37.4016,126.7087
"공중화장실","남동인더스파크역","인천 남동구 은청로 17 남동인더스파크역","1","5","13","05:00~24:00",37.4075,126.6953
"공중화장실","인천남동소방서","인천 남동구 인주대로 714 인천남동소방서","1","8","7","09:00~18:00",37.4495,126.7165
"공중화장실","구월도매시장 공영주차장","인천 남동구 성말로32번길 19 구월도매시장 공영주차장","1","2","2","",37.4433,126.7043
"공중화장실","남동수영장","인천 남동구 논현고잔로 173 남동수영장","1","3","4","06:00~21:00",37.3984,126.7151
"공중화장실","남동국민체육센터","인천 남동구 백범로124번길 94 남동국민체육센터","1","9","13","06:00~21:30",37.4582,126.7363
"공중화장실","소래역사관","인천 남동구 아암대로 1605 소래역사관","1","3","9","10:00~17:00",37.3981,126.7376
"공중화장실","남동소래아트홀","인천 남동구 아암대로1437번길 32 남동소래아트홀","1","17","35","09:00~18:00",37.3875,126.7246
"공중화장실","소래산공영주차장","인천 남동구 만의골로189번길 9 소래산공영주차장","1","2","3","",37.4584,126.7732
"공중화장실","한국산업단지공단 인천지역본부","인천 남동구 남동대로 217 한국산업단지공단 인천지역본부","1","7","6","",37.4049,126.6972
"공중화장실","만수지구대","인천 남동구 만수서로 68 만수지구대","1","1","1","",37.4615,126.7337
"공중화장실","인천공단소방서","인천 남동구 남동서로 208 인천공단소방서","1","6","1","09:00~18:00",37.4081,126.6932
"공중화장실","공단소방서","인천 남동구 비류대로 667 공단소방서","1","1","1","09:00~18:00",37.4227,126.7091
"공중화장실","공단소방서","인천 남동구 소래역로 109 공단소방서","1","3","2","",37.4054,126.7296
"공중화장실","공단소방서","인천 남동구 에코중앙로 86 공단소방서","1","3","1","09:00~18:00",37.3865,126.7208
"공중화장실","인천서창동우체국","인천 남동구 서창방산로 67 인천서창동우체국","1","2","2","09:00~18:00",37.4226,126.752
"공중화장실","인천한화지구우체국","인천 남동구 에코중앙로 178 인천한화지구우체국","1","2","2","09:00~18:00",37.3926,126.7274
"공중화장실","논현지구대","인천 남동구 앵고개로 797 논현지구대","1","2","2","",37.3937,126.7236
"공중화장실","인천논현동우체국","인천 남동구 남동대로370번길 137 인천논현동우체국","1","2","2","09:00~18:00",37.4132,126.7133
"공중화장실","인천남동우체국","인천 남동구 논현로46번길 7 인천남동우체국","1","11","24","09:00~18:00",37.4017,126.7122
"공중화장실","인천고용복지플러스센터","인천 남동구 문화로 131 인천고용복지플러스센터","1","13","19","05:00~01:00",37.4507,126.6994
"공중화장실","인천상공회의소","인천 남동구 은봉로60번길 46 인천상공회의소","1","32","31","",37.4089,126.6964
"공중화장실","통계청 인천사무소","인천 남동구 인하로507번길 66 통계청 인천사무소","1","7","9","09:00~18:00",37.4466,126.7035
"공중화장실","소래새우","인천 남동구 소래로 109 소래새우","1","3","5","",37.4003,126.7403
"공중화장실","소래포구","인천 남동구 포구로 2-45 소래포구","1","6","11","",37.3975,126.7391
"공중화장실","소래4호광장","인천 남동구 앵고개로948번길 33 소래4호광장","1","3","4","",37.4012,126.7366
"공중화장실","소래6호광장","인천 남동구 아암대로 1605 소래6호광장","1","1","4","",37.3981,126.7376
"공중화장실","부평농장","인천 남동구 만월북로 40 부평농장","1","7","5","",37.4703,126.7185
"공중화장실","자전거도로","인천 남동구 소래로 372 자전거도로","1","1","2","",37.4242,126.7369
"공중화장실","오봉산배수지체육광장","인천 남동구 논고개로 222 오봉산배수지체육광장","1","3","4","06:00~22:00",37.4105,126.7264
"공중화장실","만월산배수지체육광장","인천 남동구 평온로 12 만월산배수지체육광장","1","2","3","06:00~22:00",37.4752,126.7112
"공중화장실","남동구보건소","인천 남동구 소래로 633 남동구보건소","1","12","24","09:00~18:00",37.4474,126.7307
"공중화장실","만수1동 행정복지센터","인천 남동구 인주대로 851 만수1동 행정복지센터","1","6","9","(평일)09:00-18:00",37.4487,126.732
"공중화장실","간석4동 행정복지센터","인천 남동구 벽돌말로19번길 7 간석4동 행정복지센터","1","11","21","09:00~18:00",37.4707,126.7
"공중화장실","구월4동 무료급식센터","인천 남동구 구월말로 7 구월4동 무료급식센터","1","1","2","09:00~18:00",37.4496,126.7241
"공중화장실","구월4동 행정복지센터","인천 남동구 구월말로 7 구월4동 행정복지센터","1","2","3","09:00~18:00",37.4496,126.7241
"공중화장실","남동구청","인천 남동구 소래로 633 남동구청","1","39","39","",37.4474,126.7307
"공중화장실","남동구청 차량등록민원실","인천 남동구 소래로 633 남동구청 차량등록민원실","1","6","10","",37.4474,126.7307
"공중화장실","만수3동 행정복지센터","인천 남동구 서판로 11 만수3동 행정복지센터","1","7","14","09:00~18:00",37.462,126.723
"공중화장실","간석지구대","인천 남동구 석산로 176 간석지구대","1","2","1","",37.4609,126.7089
"공중화장실","하촌어린이공원","인천 남동구 하촌로 40-7 하촌어린이공원","1","1","3","",37.4514,126.7329
"공중화장실","산밑말근린공원","인천 남동구 만수로111번길 38 산밑말근린공원","1","2","4","",37.4679,126.7356
"공중화장실","인천논현경찰서","인천 남동구 논현고잔로 239 인천논현경찰서","1","31","33","",37.4037,126.7157
"공중화장실","만월지구대","인천 남동구 장승남로47번길 7 만월지구대","1","2","2","",37.4438,126.7371
"공중화장실","남촌다목적체육관","인천 남동구 남촌동로16번길 66 남촌다목적체육관","1","3","4","06:00~22:00",37.4334,126.7164
"공중화장실","아단배드민턴장","인천 남동구 백범로 138 아단배드민턴장","1","2","3","06:00~22:00",37.456,126.7323
"공중화장실","구월체육시설 게이트볼장","인천 남동구 구월로 251 구월체육시설 게이트볼장","1","3","5","06:00~22:00",37.4573754286374,126.718899105768
"공중화장실","남동다목적실내체육관","인천 남동구 소래로 540 남동다목적실내체육관","1","2","2","06:00~22:00",37.4379,126.7338
"공중화장실","논현2동 행정복지센터","인천 남동구 논현고잔로 248 논현2동 행정복지센터","1","6","10","09:00~18:00",37.4042,126.7164
"공중화장실","남동근린공원","인천 남동구 남동대로 263 남동근린공원","1","4","3","",37.4083,126.6997
"공중화장실","서창도서관","인천 남동구 독곡로16번길 15 서창도서관","1","5","8","09:00~22:00(월, 휴일 휴관)",37.436351065399,126.746224999982
"공중화장실","물사랑정원","인천 남동구 백범로 64 물사랑정원","1","3","3","",37.4546,126.7418
"공중화장실","간석2동 행정복지센터","인천 남동구 남동대로916번길 47 간석2동 행정복지센터","1","8","16","09:00~18:00",37.464,126.7109
"공중화장실","남동구평생학습관","인천 남동구 소래로 645 남동구평생학습관","1","17","35","09:00~18:00",37.4477147022117,126.733083722994
"공중화장실","소래도서관","인천 남동구 앵고개로 793 소래도서관","1","11","14","09:00~22:00(월요일, 공휴일 도서관 휴관)",37.3931806071548,126.723194719352
