구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","제주대학교버스회차지","제주특별자치도 제주시 제주대학로 102 제주대학교버스회차지","1","0","0","",33.4572918019245,126.564322232111
"간이화장실","한천제2저류지공원","제주특별자치도 제주시 오등동 1834-4 한천제2저류지공원","1","0","0","",33.4467073379178,126.52307869704
"간이화장실","아라동 다목적운동장","제주특별자치도 제주시 아라이동 1360-14 아라동 다목적운동장","1","0","0","",33.4875425478058,126.543522738735
"공중화장실","국제대학버스회차지","제주특별자치도 제주시 영평동 2237-6 국제대학버스회차지","1","0","0","",33.4390113281255,126.569159895346
"공중화장실","월평 버스회차지","제주특별자치도 제주시 아봉로 450 월평 버스회차지","1","0","0","",33.4702023665507,126.582992971646
"간이화장실","편백나무숲","제주특별자치도 제주시 아라일동 산 31-1 편백나무숲","1","0","0","",33.4436591579347,126.556418249213
"공중화장실","방선문","제주특별자치도 제주시 오라이동 3819-11 방선문","1","0","0","",33.4561655072674,126.517078055412
"개방화장실","연동주민센터옆","제주특별자치도 제주시 신대로 101 연동주민센터옆","1","0","0","",33.4883782338729,126.4969229706
"공중화장실","누웨마루거리","제주특별자치도 제주시 신대로12길 54 누웨마루거리","1","0","0","",33.4889348541551,126.490890428287
"공중화장실","신비의도로","제주특별자치도 제주시 1100로 2894-65 신비의도로","1","0","0","",33.4514303906189,126.48740678681
"공중화장실","한림중앙상가","제주특별자치도 제주시 한림읍 한림북동길 2 한림중앙상가","1","0","0","",33.4155049298797,126.264839419046
"공중화장실","금능리포구","제주특별자치도 제주시 한림읍 금능7길 14-8 금능리포구","1","0","0","",33.3896186399589,126.228908938821
"공중화장실","금악오름","제주특별자치도 제주시 한림읍 한창로 1174-20 금악오름","1","0","0","",33.3509364973374,126.305895760544
"공중화장실","귀덕올레15코스","제주특별자치도 제주시 한림읍 귀덕리 2597-1 귀덕올레15코스","1","0","0","",33.4323137491765,126.286970092121
"공중화장실","월령리","제주특별자치도 제주시 한림읍 월령리 344-2","1","0","0","",33.3806181420704,126.214839619595
"공중화장실","옹포천 어울공원","제주특별자치도 제주시 한림읍 옹포리 21 옹포천 어울공원","1","0","0","",33.40399629642524,126.25942007401082
"공중화장실","남또르쉼터","제주특별자치도 제주시 애월읍 애월해안로 466-1 남또르쉼터","1","0","0","",33.4770508764568,126.354365794284
"공중화장실","한담공원","제주특별자치도 제주시 애월읍 애월리 2461 한담공원","1","0","0","",33.4599174500914,126.310993698527
"공중화장실","바리메오름주차장","제주특별자치도 제주시 애월읍 어음리 산 21 바리메오름주차장","1","0","0","",33.3776829022174,126.387113528925
"공중화장실","족은노꼬메오름주차장","제주특별자치도 제주시 애월읍 유수암리 산 28 족은노꼬메오름주차장","1","0","0","",33.3970825083595,126.425122544208
"공중화장실","궤물오름주차장","제주특별자치도 제주시 애월읍 산록서로 372 궤물오름주차장","1","0","0","",33.4024686058493,126.408212466868
"공중화장실","중엄소공원","제주특별자치도 제주시 애월읍 신엄리 961 중엄소공원","1","0","0","",33.4778870315388,126.369395562721
"공중화장실","하가연하못옆","제주특별자치도 제주시 애월읍 하가로 182 하가연하못옆","1","0","0","",33.4550410947745,126.346848230403
"공중화장실","오당빌레","제주특별자치도 제주시 애월읍 하가리 846-1 오당빌레","1","0","0","",33.4539566664486,126.351779023111
"공중화장실","가문동포구","제주특별자치도 제주시 애월읍 가문동길 50 가문동포구","1","0","0","",33.4868185198071,126.392318341039
"공중화장실","미수동포구","제주특별자치도 제주시 애월읍 하귀2리 1656-6 미수동포구","1","0","0","",33.4847605613545,126.401844461429
"개방화장실","제일주차빌딩","제주특별자치도 제주시 관덕로15길 3 제일주차빌딩","1","0","0","",33.5134838475783,126.526595886157
"개방화장실","공항입구주차장","제주특별자치도 제주시 다호북길 7 공항입구주차장","1","0","0","",33.503675032662,126.495713095514
"개방화장실","이도2동 주민센터 앞 주차장","제주특별자치도 제주시 오복3길 9 이도2동 주민센터 앞 주차장","1","0","0","",33.4967901559582,126.534927948197
"개방화장실","동문재래 공영주차장","제주특별자치도 제주시 중앙로13길 16-8 동문재래 공영주차장","1","0","0","",33.5108176113544,126.526086901286
"개방화장실","노형 제2 공영주차장","제주특별자치도 제주시 월랑로2길 1 노형 제2 공영주차장","1","0","0","",33.4872971756921,126.479811817406
"개방화장실","노형 정존 공영주차장","제주특별자치도 제주시 수덕5길 34 노형 정존 공영주차장","1","0","0","",33.4854761718535,126.474753173902
"개방화장실","제주상공회의소 동측 공영주차장","제주특별자치도 제주시 도남동 574-3 제주상공회의소 동측 공영주차장","1","0","0","",33.4904346254038,126.520097184214
"공중화장실","지미봉주차장","제주특별자치도 제주시 구좌읍 종달리 산 2 지미봉주차장","1","0","0","",33.4974137754312,126.905526290634
"공중화장실","용눈이오름 주차장","제주특별자치도 제주시 구좌읍 종달리 4650 용눈이오름 주차장","1","0","0","",33.4625405044902,126.83200329981
"공중화장실","서동항포구","제주특별자치도 제주시 구좌읍 평대리 2025-6 서동항포구","1","0","0","",33.5364802134565,126.840785555009
"공중화장실","평대해수욕장","제주특별자치도 제주시 구좌읍 평대리 1994-6 평대해수욕장","1","0","0","",33.5329307737708,126.840763209247
"공중화장실","면수동해녀탈의장","제주특별자치도 제주시 구좌읍 하도리 3140-2 면수동해녀탈의장","1","0","0","",33.5285608924523,126.866542292227
"공중화장실","서문동해녀탈의장","제주특별자치도 제주시 구좌읍 하도서문길 23 서문동해녀탈의장","1","0","0","",33.5288667006958,126.88047674779
"공중화장실","면수동마을회관 옆 주차장","제주특별자치도 제주시 구좌읍 하도리 3359-83 면수동마을회관 옆 주차장","1","0","0","",33.5226173049876,126.86673613917
"공중화장실","신동해녀탈의장","제주특별자치도 제주시 구좌읍 하도리 468-4 신동해녀탈의장","1","0","0","",33.5277684951447,126.891481355816
"개방화장실","성판악 탐방안내소","제주특별자치도 제주시 조천읍 516로 1865 성판악 탐방안내소","1","0","0","",33.3844995042587,126.619407091901
"개방화장실","성판악 속밭","제주특별자치도 제주시 조천읍 516로 1865 성판악 속밭","1","0","0","",33.3844995042587,126.619407091901
"개방화장실","관음사 야영장","제주특별자치도 제주시 산록북로 588 관음사 야영장","1","0","0","",33.4216134051671,126.549757591879
"개방화장실","관음사 탐라계곡","제주특별자치도 제주시 오라이동 산 107-20 관음사 탐라계곡","1","0","0","",33.3894180985294,126.528204996231
"개방화장실","관음사 삼각봉","제주특별자치도 제주시 오라이동 산 107-20 관음사 삼각봉","1","0","0","",33.3894180985294,126.528204996231
"개방화장실","관음사 산악박물관","제주특별자치도 제주시 산록북로 588 관음사 산악박물관","1","0","0","",33.4216134051671,126.549757591879
"개방화장실","제주도립미술관 야외1","제주특별자치도 제주시 1100로 2894-78 제주도립미술관 야외1","1","0","0","",33.4525500193362,126.489686090961
"개방화장실","제주도립미술관 야외2","제주특별자치도 제주시 1100로 2894-78 제주도립미술관 야외2","1","0","0","",33.4525500193362,126.489686090961
"개방화장실","제주현대미술관 야외","제주특별자치도 제주시 한경면 저지12길 85-2 제주현대미술관 야외","1","0","0","",33.3385867828295,126.265979140818
"개방화장실","김창열미술관 야외","제주특별자치도 제주시 한림읍 용금로 883-5 김창열미술관 야외","1","0","0","",33.3390713180748,126.268671721329
"개방화장실","한림 상두거리 공영주차장","제주특별자치도 제주시 한림읍 한림리 1198-3 한림 상두거리 공영주차장","1","0","0","",33.4124665370936,126.265303962289
"개방화장실","외도동 제1 공영주차장","제주특별자치도 제주시 외도일동 559-1 외도동 제1 공영주차장","1","0","0","",33.4867386642745,126.431754917656
"개방화장실","연화로 공영주차장","제주특별자치도 제주시 연화로2길 17-4 연화로 공영주차장","1","0","0","",33.4776424344972,126.489276083629
"개방화장실","정든로 공영주차장","제주특별자치도 제주시 정든로 37 정든로 공영주차장","1","0","0","",33.4975689013213,126.542396908486
"개방화장실","동광 공영주차장","제주특별자치도 제주시 태성로2길 5 동광 공영주차장","1","0","0","",33.4999258523371,126.545362001214
