구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","남원공용터미널","전북특별자치도 남원시 용성로 109 남원공용터미널","1","10","11","",35.4096294755829,127.387879906215
"공중화장실","광한루원 춘향관","전북특별자치도 남원시 요천로 1447","1","2","2","12시간",35.4019960753285,127.37898414915
"공중화장실","광한루원 주차장","전북특별자치도 남원시 금동 96-2","1","5","6","12시간",35.4041220584001,127.37819267056
"공중화장실","광한루원 정문","전북특별자치도 남원시 요천로 1447","1","4","14","12시간",35.4023883862665,127.380342220683
"공중화장실","광한루원 서문","전북특별자치도 남원시 금동 293","1","4","5","12시간",35.402597953760214,127.37674344726857
"공중화장실","광한루 서문주차장","전북특별자치도 남원시 요천로 1447 광한루 서문주차장","1","4","6","12시간",35.4041318359584,127.38050354021
"공중화장실","그린예식장 뒤","전북특별자치도 남원시 양림길 66 그린예식장 뒤","1","3","6","",35.4031423049724,127.39004722683
"공중화장실","남원랜드 밑","전북특별자치도 남원시 양림길 58-13 남원랜드 밑","1","5","5","",35.402838694522,127.391927440579
"공중화장실","국악원 옆","전북특별자치도 남원시 양림길 54 국악원 옆","1","5","4","",35.4016048464809,127.391493796573
"공중화장실","춘향문화예술회관 밖","전북특별자치도 남원시 양림길 43 춘향문화예술회관 밖","1","2","3","",35.4021947086689,127.390144049503
"공중화장실","춘향테마파크 정문","전북특별자치도 남원시 양림길 14-9 춘향테마파크 정문","1","5","5","12시간",35.4014643455238,127.386901565874
"공중화장실","춘향테마파크 서문","전북특별자치도 남원시 양림길 14-9 춘향테마파크 서문","1","4","3","12시간",35.4014643455238,127.386901565874
"공중화장실","우수저류장 생활체육공원","전북특별자치도 남원시 붕맛길 26 우수저류장 생활체육공원","1","1","2","",35.411662,127.379223
"공중화장실","어린이놀이터 용성중 옆","전북특별자치도 남원시 용중1길 13 어린이놀이터 용성중 옆","1","2","2","",35.421038772356,127.392176220884
"공중화장실","근린공원","전북특별자치도 남원시 오들1길 52 근린공원","1","2","2","",35.4188160239971,127.400150028758
"공중화장실","어린이놀이터 시청후문","전북특별자치도 남원시 시청북1길 10 어린이놀이터 시청후문","1","2","2","",35.4171130450647,127.390105738581
"공중화장실","어린이놀이터 수정탕 뒤","전북특별자치도 남원시 시청동로 22-12 어린이놀이터 수정탕 뒤","1","2","2","",35.4157728662527,127.392530335399
