구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
공중화장실,장평체육공원,전남 장흥군 장평면 장평중앙길 36-16 장평체육공원,1,2,4,,34.77293686,126.9756291
공중화장실,장평시장 내,전남 장흥군 장평면 장택길 13 장평시장 내,1,2,2,,34.775396,126.9778626
공중화장실,장평시장 외곽,전남 장흥군 장평면 평동로 40 장평시장 외곽,1,3,3,,34.77595847,126.9778029
이동화장실,장평우산 파크골프장,전남 장흥군 장평면 우산병동길 장평우산 파크골프장,1,2,5,,34.82147927,126.9154608
공중화장실,장동제암산주차장,전남 장흥군 장동면 북교반산로 30 장동제암산주차장,1,2,3,,34.74182715,126.993071
공중화장실,정유재란 열부순절지,전남 영광군 백수읍 해안로 866 정유재란 열부순절지,1,2,2,,35.34603819,126.3886171
공중화장실,백수 노을정,전남 영광군 백수읍 해안로 565-26 백수 노을정,1,1,2,,35.32444225,126.379313
공중화장실,백수 바이크렛,전남 영광군 백수읍 해안로 1084 백수 바이크렛,1,1,2,,35.36229709,126.3956244
공중화장실,백수해안공원,전남 영광군 백수읍 백암리 223-1 백수해안공원,1,1,4,,35.325855,126.379669
공중화장실,백수 노을전시관 앞,전남 영광군 백수읍 해안로 957 백수 노을전시관 앞,1,3,7,,35.35373156,126.3892808
공중화장실,장흥우체국,전남 장흥군 장흥읍 장흥로 15 장흥우체국,1,6,6,(평일)09:00-18:00,34.68094736,126.9063581
공중화장실,장흥관산우체국,전남 장흥군 관산읍 관산로 86 장흥관산우체국,1,1,1,(평일)09:00-18:00,34.56297138,126.9386872
공중화장실,장흥대덕우체국,전남 장흥군 대덕읍 대대로 939 장흥대덕우체국,1,1,1,(평일)09:00-18:00,34.49917449,126.8892749
공중화장실,장흥용산우체국,전남 장흥군 용산면 용안로 3 장흥용산우체국,1,1,2,(평일)09:00-18:00,34.61555161,126.9143914
공중화장실,장흥안양우체국,전남 장흥군 안양면 남부관광로 741 장흥안양우체국,1,1,1,(평일)09:00-18:00,34.64871918,126.9724583
공중화장실,장흥장동우체국,전남 장흥군 장동면 흥성로 1551 장흥장동우체국,1,1,1,(평일)09:00-18:00,34.75117661,126.9951638
공중화장실,장흥장평우체국,전남 장흥군 장평면 장평중앙길 37 장흥장평우체국,1,1,1,(평일)09:00-18:00,34.7731893,126.9745057
공중화장실,장흥유치우체국,전남 장흥군 유치면 유치로 40 장흥유치우체국,1,2,2,(평일)09:00-18:00,34.80206305,126.8372105
공중화장실,장흥부산우체국,전남 장흥군 부산면 부유로 32 장흥부산우체국,1,1,1,(평일)09:00-18:00,34.72308586,126.9030418
공중화장실,장흥회진우체국,전남 장흥군 회진면 가학회진로 1605 장흥회진우체국,1,1,2,(평일)09:00-18:00,34.48273106,126.9395806
공중화장실,예양공원,전남 장흥군 장흥읍 읍성로 예양공원,1,1,2,,34.67546,126.8991
공중화장실,평화저수지,전남 장흥군 장흥읍 평화우산길 126 평화저수지,1,2,2,,34.66583515,126.9142219
공중화장실,천문과학관주차장,전남 장흥군 장흥읍 평화우산길 180-94 천문과학관주차장,1,3,5,,34.66299752,126.9203218
이동화장실,향기숲공원,전남 장흥군 장흥읍 행원강변길 향기숲공원,1,3,3,,34.69074561,126.8933886
이동화장실,장흥대교 서편,전남 장흥군 장흥읍 노벨문학길 120 장흥대교 서편,1,3,5,,34.67392991,126.9029144
이동화장실,예양교 서편,전남 장흥군 장흥읍 노벨문학길 120 예양교 서편,1,2,5,,34.67392991,126.9029144
이동화장실,예양교 동편,전남 장흥군 장흥읍 건산리 805 예양교 동편,1,3,3,,34.67679,126.9057
이동화장실,장흥교 서편,전남 장흥군 장흥읍 기양리 153-1 장흥교 서편,1,3,3,,34.67901,126.9034
이동화장실,장흥교 동편,전남 장흥군 장흥읍 건산리 805 장흥교 동편,1,3,5,,34.6784038,126.9049709
공중화장실,민속광장,전남 장흥군 장흥읍 토요시장2길 3-10 민속광장,1,4,6,,34.67492677,126.9024277
공중화장실,오일시장,전남 장흥군 장흥읍 토요시장3길 15 오일시장,1,5,6,,34.67636797,126.9028619
공중화장실,상설시장 동편,전남 장흥군 장흥읍 토요시장1길 53 상설시장 동편,2,2,2,,34.67697917,126.9029058
공중화장실,상설시장 서편,전남 장흥군 장흥읍 토요시장1길 53 상설시장 서편,2,1,1,,34.67697917,126.9029058
공중화장실,장천재체육공원,전남 장흥군 관산읍 천관산길 장천재체육공원,1,2,3,,34.54986766,126.9376386
공중화장실,장천재주차장,전남 장흥군 관산읍 효자송길 169 장천재주차장,1,3,10,,34.54977986,126.9367663
공중화장실,장천재주차장,전남 장흥군 관산읍 천관산길 97 장천재주차장,1,3,2,,34.5487649,126.9370887
공중화장실,천관산도립공원관리사무소,전남 장흥군 관산읍 천관산길 147 천관산도립공원관리사무소,1,1,2,,34.54855342,126.9318827
공중화장실,공설운동장 서편,전남 장흥군 장흥읍 읍성로 5-28 공설운동장 서편,1,5,5,,34.66839038,126.8927475
공중화장실,공설운동장 동편,전남 장흥군 장흥읍 읍성로 5-28 공설운동장 동편,1,6,4,,34.66839038,126.8927475
공중화장실,공설운동장 본부석,전남 장흥군 장흥읍 읍성로 5-28 공설운동장 본부석,1,4,3,,34.66839038,126.8927475
공중화장실,가마미해수욕장,전남 영광군 홍농읍 가마미로 355 가마미해수욕장,1,5,8,,35.39863977,126.4091174
공중화장실,가마미해수욕장,전남 영광군 홍농읍 가마미로 341-1 가마미해수욕장,1,4,7,,35.39766072,126.4072312
공중화장실,유치자연휴양림 수인관,전남 장흥군 유치면 휴양림길 154 유치자연휴양림 수인관,1,2,3,,34.76807421,126.832341
공중화장실,유치자연휴양림 웃산막,전남 장흥군 유치면 휴양림길 154 유치자연휴양림 웃산막,1,1,2,,34.76807421,126.832341
공중화장실,유치자연휴양림 관리사무소,전남 장흥군 유치면 휴양림길 154 유치자연휴양림 관리사무소,1,2,3,,34.76807421,126.832341
공중화장실,유치공설공원묘지,전남 장흥군 유치면 부유로 257 유치공설공원묘지,1,2,3,,34.73423565,126.8881997
공중화장실,장흥공설공원묘지,전남 장흥군 장흥읍 금산신기길 131 장흥공설공원묘지,1,2,2,,34.69904467,126.9581707
공중화장실,천관산동백숲주차장,전남 장흥군 관산읍 신평길 천관산동백숲주차장,1,1,1,,34.56151,126.884
공중화장실,바이오산업단지 체육공원,전남 장흥군 장흥읍 산단1로 바이오산업단지 체육공원,1,1,2,,34.68879,126.932
공중화장실,만남의 광장,전남 장흥군 장흥읍 잣두길 만남의 광장,1,1,2,,34.69014,126.9014
공중화장실,칠산타워주차장,전남 영광군 염산면 옥실리 1106-34 칠산타워주차장,1,1,3,,35.16928569,126.3602795
공중화장실,영광칠산타워 입구,전남 영광군 염산면 향화로 2-10 영광칠산타워 입구,1,3,6,,35.16863326,126.3603065
공중화장실,대마시등,전남 영광군 대마면 대성로 25 대마시등,1,1,2,,35.32619565,126.5829295
공중화장실,구 우시장 공용주차장,전남 영광군 영광읍 옥당로 122-6 구 우시장 공용주차장,1,3,5,,35.27360855,126.5028161
공중화장실,매일시장,전남 영광군 영광읍 중앙로4길 9-2 매일시장,1,3,6,,35.2757,126.5129
공중화장실,터미널시장,전남 영광군 영광읍 신남로3길 10 터미널시장,1,1,1,,35.27523752,126.5026362
공중화장실,고추시장,전남 영광군 영광읍 신하리 322-3 고추시장,1,3,5,,35.27440065,126.4947263
공중화장실,고추시장,전남 영광군 영광읍 신하리 327-1 고추시장,1,3,5,"매달1,6일",35.27472741,126.493546
공중화장실,만남의광장,전남 영광군 영광읍 천년로 1520 만남의광장,1,3,5,,35.278059,126.5046573
공중화장실,내산서원,전남 영광군 불갑면 강항로 101 내산서원,1,1,2,,35.21184876,126.5179096
공중화장실,포천버스정류장,전남 영광군 군남면 포천길 24-1 포천버스정류장,1,1,2,,35.23949492,126.4511033
공중화장실,청보리축제장,전남 영광군 군남면 천년로 909-3 청보리축제장,1,3,5,,35.24513202,126.457937
공중화장실,법성포뉴타운 1교,전남 영광군 법성면 법성포로 7 법성포뉴타운 1교,1,5,6,,35.360979,126.440797
공중화장실,법성포뉴타운 소공원,전남 영광군 법성면 법성포로3길 68 법성포뉴타운 소공원,1,5,6,,35.358019,126.445167
공중화장실,법성포뉴타운 2지구,전남 영광군 법성면 굴비로1길 101 법성포뉴타운 2지구,1,4,7,,35.360307,126.4331751
공중화장실,두우리해수욕장,전남 영광군 염산면 칠산로 899-10 두우리해수욕장,1,4,8,,35.242483,126.307156
공중화장실,염산5일시장,전남 영광군 염산면 천년로 6-4 염산5일시장,1,2,2,,35.21670915,126.372445
공중화장실,설도공원,전남 영광군 염산면 향화로 666 설도공원,1,1,4,,35.21375885,126.377105
공중화장실,설도항,전남 영광군 염산면 향화로5길 18 설도항,1,2,6,,35.21188081,126.3757778
공중화장실,영광대교,전남 영광군 백수읍 해안로 1417 영광대교,1,2,3,,35.364359,126.418031
공중화장실,불갑사관광지 주차장,전남 영광군 불갑면 불갑사로 365 불갑사관광지 주차장,1,3,8,,35.20366201,126.5393844
공중화장실,불갑사관광지 안내소,전남 영광군 불갑면 불갑사로 358 불갑사관광지 안내소,1,2,6,,35.20283927,126.5390066
공중화장실,불갑사관광지 연지 앞,전남 영광군 불갑면 불갑사로 450 불갑사관광지 연지 앞,1,3,5,,35.199675,126.5500459
공중화장실,불갑저수지 수변공원,전남 영광군 불갑면 방마로 151 불갑저수지 수변공원,1,3,7,,35.221475,126.514251
공중화장실,불갑저수지제당공원,전남 영광군 불갑면 녹산리 산 82-1 불갑저수지제당공원,1,3,4,,35.22392596,126.506093
공중화장실,법성포 숲쟁이공원,전남 영광군 법성면 숲쟁이길 8 법성포 숲쟁이공원,1,3,6,,35.364536,126.4425954
공중화장실,수문해수욕장,전남 장흥군 안양면 수문용곡로 166 수문해수욕장,1,3,4,,34.63444049,127.0331081
간이화장실,남상천,전남 장흥군 용산면 용안로 남상천,1,1,1,,34.63275976,126.9488817
