구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","온양온천역 하부공간(용화동화장실)","","충청남도 아산시 용화동 22-2","2","2","","","","좌표를 찾을 수 없음"
"간이화장실","용연(서울)졸음쉼터","","충청남도 당진시 용연동","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","벚꽃공원","","충청남도 당진시 순성면 갈산리 228","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","그린광장공원","","충청남도 당진시 송산면 유곡리 139-2","1","3","","","","좌표를 찾을 수 없음"
"공중화장실","물레방앗간유원지 주차장","충청남도 청양군 대치면 돌모로길 28-4","","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","장곡주차장(장승공원)","","충청남도 청양군 대치면 장곡리 216","4","5","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 남일면 황풍리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 금산읍 중도리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 금산읍 중도리203번지 32호","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","비호산 체육공원","","충청남도 금산군 금산읍 중도리203번지 32호","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","이슬공원","","충청남도 금산군 금산읍 중도리","3","2","","","","좌표를 찾을 수 없음"
"개방화장실","만인산농협경제사업장","","충청남도 금산군 금산읍 상리420번지 5호","2","1","","","","좌표를 찾을 수 없음"
"개방화장실","해맗은어린이집","","충청남도 금산군 남일면 음대리293번지","1","3","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 남이면 건천리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 남이면 흑암리322번지","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","금성농공단지관리사무소","","충청남도 금산군 진산면 행정리745번지","4","4","","","","좌표를 찾을 수 없음"
"개방화장실","지방2리.가사공원","","충청남도 금산군 진산면 행정리","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 복수면 목소리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 복수면 신대리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","물레방아공원","","충청남도 금산군 복수면 지량리","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","농촌전통테마마을","","충청남도 금산군 추부면 마전리","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","공중화장실","","충청남도 금산군 추부면 마전리","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","무내미체험마을","","충청남도 금산군 추부면 마전리","1","1","","","","좌표를 찾을 수 없음"
