구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","국립백두대간수목원 판매센터","","경상북도 봉화군 춘양면 서벽리 539-1","2","4","10","","","좌표를 찾을 수 없음"
"간이화장실","법전면생활체육공원","경북 봉화군 법전면 법전로 130-1","","1","5","8","","","좌표를 찾을 수 없음"
"간이화장실","작곡재 좌측","","경상북도 봉화군 봉성면 외삼리 103-21","1","2","","","","좌표를 찾을 수 없음"
"간이화장실","우련전","","경상북도 봉화군 재산면 갈산리 60-1","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","육송정","","경상북도 봉화군 석포면 석포리 960-1","2","3","","","","좌표를 찾을 수 없음"
"간이화장실","당리고개","","경상북도 영양군 청기면 당리 산153번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","망미공원","","경상북도 영양군 청기면 청기리 302번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","기포쉼터","","경상북도 영양군 청기면 토구리 428번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","행화재","","경상북도 영양군 청기면 행화리 산82번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","홍계저수지 상류","","경상북도 영양군 석보면 홍계리 541번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","유성길 천마농장 입구","","경상북도 영양군 석보면 삼의리 산31번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","블루베리 앞","","경상북도 영양군 석보면 삼의리 94번지 3호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","삼의2교 옆","","경상북도 영양군 석보면 삼의리 산42번지 8호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","청암교 옆","","경상북도 영양군 입암면 신사리 21번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","신암2교 지나","","경상북도 영양군 수비면 신암리 961번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","신암학교 앞","","경상북도 영양군 수비면 신암리 167번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","솔밭지나 900M 하천변","","경상북도 영양군 수비면 신암리 25번지 5호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","번동5교 앞","","경상북도 영양군 수비면 수하리 산26번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","수하5교 옆","","경상북도 영양군 수비면 수하리 산56","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","부연공원","","경상북도 영양군 입암면 연당리 759번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","서치교 옆","","경상북도 영양군 입암면 산해리 590번지 5호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","하천변 마을숲(국도변)","","경상북도 영양군 입암면 병옥리 산27번지 4호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","오리 폐교지나 100M","","경상북도 영양군 일월면 오리리 159번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","주곡숲 버스정류장","","경상북도 영양군 일월면 주곡리 262번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","섬촌교 아래 소공원","","경상북도 영양군 일월면 섬촌리 269번지 6호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","반월형","","경상북도 영양군 일월면 칠성리 254번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","문암삼거리 경찰초소 옆","","경상북도 영양군 일월면 문암리 71번지 3호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","윗대티 등산로","","경상북도 영양군 일월면 용화리 473번지 6호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","대천교회 맞은편 정자","","경상북도 영양군 영양읍 대천리 315번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","화전2교 지나 소공원","","경상북도 영양군 영양읍 화천리 495번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","맹동산 입구(풍력)","","경상북도 영양군 영양읍 양구리 산9번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","진밭입구","","경상북도 영양군 영양읍 양구리 119번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","상기산 입구","","경상북도 영양군 영양읍 기산리 산5번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","현동교 아래","","경상북도 영양군 영양읍 현리 389번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","사두들쉼터","","경상북도 영양군 영양읍 상원리 495번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","당평입구","","경상북도 영양군 영양읍 상원리 310번지 2호","1","2","","","","좌표를 찾을 수 없음"
"간이화장실","마을회관 맞은편 다리건너","","경상북도 영양군 영양읍 상원리 811번지 1호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","침벽공원","","경상북도 영양군 영양읍 감천리 691번지 2호","1","3","","","","좌표를 찾을 수 없음"
"간이화장실","오일도시비 공원","","경상북도 영양군 영양읍 감천리 366번지 4호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","양두들 황정골 입구","","경상북도 영양군 영양읍 양구리 산9번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","덕봉쉼터","","경상북도 영양군 일월면 섬촌리 1번지 2호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","중삼의 풍경펜션 주변","","경상북도 영양군 석보면 삼의리 산47번지","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","재인구(큰다리 지나 하천변)","","경상북도 영양군 일월면 섬촌리 269번지 6호","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","부봉 표지석 밑 화장실","","경상북도 문경시 문경읍 상초리 42-47","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","금천둔치","좌표를 찾을 수 없음"
"공중화장실","왜관3공단 화장실","","경상북도 칠곡군 왜관읍 낙산리 1165-1","1","3","","","","좌표를 찾을 수 없음"
"개방화장실","대구외곽순환선","","경상북도 칠곡군 지천면 연호리 136-11","1","2","","","","좌표를 찾을 수 없음"
"간이화장실","동회관 옆(갈전)","","경상북도 울진군 금강송면 쌍전리 산124-16","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","현내항 화장실","","경상북도 울진군 울진읍 연지리 80-5","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","수산리염전주차장","경상북도 울진군 근남면 엑스포로 128","","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","구산3리(마을회관옆)","경상북도 울진군 근남면 왕피천로 1305-4","","3","4","","","","좌표를 찾을 수 없음"
