구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","옥포다목적체육관","경상남도 거제시 옥포로2길 7","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","추동교","","경상남도 하동군 옥종면 대곡리 1008","1","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","목통마을 입구","","경상남도 하동군 화개면 범왕리 200-1","1","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","대성동고분박물관 기획전시관 화장실","경상남도 김해시 가야의길 127 (대성동)","경상남도 김해시 대성동 435 고분박물관","2","3","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","내동공원","","경상남도 김해시 내동 170-4","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","화목맑은물순환센터 1층","좌표를 찾을 수 없음"
"공중화장실","동상동 전통시장 다어울림광장 화장실","","경상남도 김해시 동상동 871-8","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","무안시장 화장실","경상남도 밀양시 무안면 사명로 510-20","경상남도 밀양시 무안면 무안리 808-5","3","5","","","","좌표를 찾을 수 없음"
"공중화장실","KTX환승주차장","","경상남도 밀양시 가곡동 488-11","3","6","","","","좌표를 찾을 수 없음"
"공중화장실","황산공원 마음정원12번","","경상남도 양산시 물금읍 증산리 1051-1","1","2","24시간","","","좌표를 찾을 수 없음"
"공중화장실","지푸네골1","상북면 석계리 산 47-9","","2","1","24시간","","","좌표를 찾을 수 없음"
"공중화장실","신기등산로","신기동 산 9","","2","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","매화둑방길 화장실","양산시 원동면 원리 512-2","","1","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","어곡주민공원화장실","어곡동 2012-5","","2","6","24시간","","","좌표를 찾을 수 없음"
"공중화장실","서룡공원1","원동면 서룡리 586-3","","1","2","24시간","","","좌표를 찾을 수 없음"
"공중화장실","어영마을2","원동면 영포리 산1516","","2","1","24시간","","","좌표를 찾을 수 없음"
"공중화장실","가야진사공원1","원동면 용당리 560","","3","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","원동소하천","원동면 원동로 1506-35","","1","2","24시간","","","좌표를 찾을 수 없음"
"공중화장실","임경대","원동면 화제리 산72-6","","2","1","24시간","","","좌표를 찾을 수 없음"
"공중화장실","관사주차공원","원리 1137","","2","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","물금녹지44호","중부동 1417","","2","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","남부공원","중부동 571-1","","4","5","24시간","","","좌표를 찾을 수 없음"
"공중화장실","강서치안센터","경상남도 양산시 충렬로 169","","1","1","09~18","","","좌표를 찾을 수 없음"
"공중화장실","제26호완충녹지","남부동 552-8","","3","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","다방동만남의광장","경남 양산시 노포사송로 878 (다방동)","","1","3","09~18","","","좌표를 찾을 수 없음"
"공중화장실","화룡주유소","경남 양산시 어실로 307 (어곡동, 화룡주유소)","","1","2","09~18","","","좌표를 찾을 수 없음"
"공중화장실","(주)삼화에너지 삼화주유소","경남 양산시 중앙로 18 (다방동, 삼거리주유소)","","1","1","09~18","","","좌표를 찾을 수 없음"
"공중화장실","한일주유소","경남 양산시 중앙로 213 (북부동, 한일주유소)","","1","2","09~18","","","좌표를 찾을 수 없음"
"공중화장실","가산공원2","동면 가산리 750-9","","3","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","가산공원1","동면 기산리 761","","3","4","24시간","","","좌표를 찾을 수 없음"
"공중화장실","완충녹지13호","동면 석산리 1288-10","","2","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","황산공원1","물금읍 물금리 785","","1","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","제7호 근린공원(디자인공원1)","물금읍 범어리 1114-1","","3","8","24시간","","","좌표를 찾을 수 없음"
"공중화장실","7호근린공원(디자인공원2)","물금읍 범어리 1114-1","","5","8","24시간","","","좌표를 찾을 수 없음"
"공중화장실","물금5호근린화장실","물금읍 범어리 1323","","3","8","24시간","","","좌표를 찾을 수 없음"
"공중화장실","8호근린공원","물금읍 범어리 135-1","","5","8","24시간","","","좌표를 찾을 수 없음"
"공중화장실","9호근린공원","물금읍 증산리 산2-4","","5","10","24시간","","","좌표를 찾을 수 없음"
"공중화장실","황산공원 캠핑장 3번","","경상남도 양산시 물금읍 물금리 178-5","2","1","24시간","","","좌표를 찾을 수 없음"
"공중화장실","황산공원 캠핑장2번","","경상남도 양산시 물금읍 물금리 218-12","2","2","24시간","","","좌표를 찾을 수 없음"
