구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","창평 슬로시티내","전라남도 담양군 창평면 창평리 111-47","","2","4","","","","좌표를 찾을 수 없음"
"공중화장실","죽녹원(향교교 밑)","","전라남도 담양군 담양읍 향교리 271번지 33호","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","메타길3(학동입구)","","전라남도 담양군 담양읍 학동리 347번지 3호","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","메타길4(금월교)","","전라남도 담양군 담양읍 학동리 40번지 5호","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","만덕산 등산로 입구","","전라남도 담양군 대덕면 운암리 산 133번지 5호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","담양호제당(주차장)","","전라남도 담양군 용면 도림리 산 150번지 6호","1","3","","","","좌표를 찾을 수 없음"
"공중화장실","한재골(입구)","","전라남도 담양군 대전면 평장리 산 13번지 3호","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","한재골 주차장","","전라남도 담양군 대전면 평장리 485번지 1호","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","한재골 약수터","","전라남도 담양군 대전면 평장리 산 103번지 2호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","메타길7","좌표를 찾을 수 없음"
"공중화장실","율촌장도공원(A동)","전라남도 여수시 율촌면 여동리 산10","","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","여자만연안생태 휴양마을 화장실","전라남도 여수시 소라면 복산리 산555-6","전라남도 여수시 소라면 복산리 산555-6","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","남면 안도 매표소 화장실","전라남도 여수시 남면 안도해변길 1, 안도간이여객터미널","전라남도 여수시 남면 안도리 936-2 안도간이여객터미널","1","2","","","","최종 좌표가 전라남도 범위를 벗어남"
"개방화장실","안도보건진료소","전라남도 여수시 남면 안도해변길 49-7 (안도리, 안도보건진료소)","","1","1","09:00~18:00","","","최종 좌표가 전라남도 범위를 벗어남"
"공중화장실","향일암버스승강장","전라남도 여수시 돌산읍 율림리 38-4","전라남도 여수시 돌산읍 율림리 38-4","1","2","","","","최종 좌표가 전라남도 범위를 벗어남"
"공중화장실","상화도 화장실 1","전라남도 여수시 화정면 상화리 전15","전라남도 여수시 화정면 상화리 전15","2","3","","","","좌표를 찾을 수 없음"
"개방화장실","안도리화장실","전라남도 여수시 남면 안도해수욕장길 105, 익금리해수욕장관리소","전라남도 여수시 남면 안도리 255-1 익금리해수욕장관리소","5","9","09:00~18:00","","","최종 좌표가 전라남도 범위를 벗어남"
"개방화장실","향일암일주문화장실","전라남도 여수시 돌산읍 향일암로 58","전라남도 여수시 돌산읍 율림리 산 7","2","6","09:00~18:00","","","최종 좌표가 전라남도 범위를 벗어남"
"개방화장실","임포주차장화장실","전라남도 여수시 돌산읍 향일암로 164, 향일암휴게소","전라남도 여수시 돌산읍 율림리 35-1 향일암휴게소","4","9","09:00~18:00","","","최종 좌표가 전라남도 범위를 벗어남"
"개방화장실","서교동 공영주차장 공용화장실","전라남도 여수시 진남로 9-1","","3","6","","","","좌표를 찾을 수 없음"
"개방화장실","향일암 공영주차장 공용화장실","전라남도 여수시 향일암로 70-4","","2","2","","","","최종 좌표가 전라남도 범위를 벗어남"
"공중화장실","웅천친수공원","좌표를 찾을 수 없음"
"공중화장실","양지바름공원","좌표를 찾을 수 없음"
"공중화장실","도원선착장","","전라남도 무안군 운남면 성내리 326-19","3","1","","","","좌표를 찾을 수 없음"
"공중화장실","조금나루유원지","","전라남도 무안군 망운면 송현리 718-1번지","3","4","","","","좌표를 찾을 수 없음"
"공중화장실","월출산국립공원 도갑사 광장","전라남도 영암군 군서면 도감사로 291","전라남도 영암군 군서면 도감사로 291","5","8","","","","좌표를 찾을 수 없음"
"공중화장실","월출산국립공원 도갑사 주차장","전라남도 영암군 군서면 도감사로 261","전라남도 영암군 군서면 도감사로 261","5","7","","","","좌표를 찾을 수 없음"
"공중화장실","북항환경관리과","전라남도 목포시 연산주앙로 87","","2","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","대불하수처리장","전라남도 영암군 삼호읍 대아로 37","전라남도 영암군 삼호읍 대아로 37","2","2","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","달선각화장실","전라남도 목포시 달성각","","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","서산동연희네","전라남도 목포시 해안로163번길 46","","3","4","","","","좌표를 찾을 수 없음"
"공중화장실","경관단지화장실","전라남도 목포시 경관단지","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","연산파크골프공원(포세식)","전라남도 목포시 고하대로 769","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","옥암수변공원(주차장)","전라남도 목포시 남악1로162번길 32","","4","1","","","","좌표를 찾을 수 없음"
"공중화장실","삼향천(소)","전라남도 목포시 녹색로 214","","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","신흥어린이공원(신흥초신안사이)","전라남도 목포시 부흥로 28-1","","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","백연근린공원(청호중 앞)","전라남도 목포시 연산백년로31번길 14","","3","1","","","","좌표를 찾을 수 없음"
"공중화장실","북항방파제물량장(1호)","전라남도 목포시 청호로19번길 62","","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","하당어린이공원(하당동사무소뒤)","전라남도 목포시 하당로213번길 8","","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","공설운동장 본부석","함평군 대동면 함장로 1378","함평군 대동면 향교리 148","3","3","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","모암축제장 화장실","","전라남도 장성군 서삼면 모암리 686번지 30호","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","장성호관광지 수변화장실","","전라남도 장성군 북하면 쌍웅리 산 38번지 5호","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","옐로우스타디움 1 화장실","","전라남도 장성군 장성읍 기산리 136-2","4","12","","","","좌표를 찾을 수 없음"
"공중화장실","옐로우스타디움 2 화장실","","전라남도 장성군 장성읍 기산리 136-2","4","12","","","","좌표를 찾을 수 없음"
"공중화장실","동화 문화센터 화장실","","전라남도 장성군 동화면 구림리 873번지 7호","5","3","","","","좌표를 찾을 수 없음"
"공중화장실","장성호 주차장 1 화장실","","전라남도 장성군 장성읍 용강리 177번지 3호","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","유평 다목적센터 화장실","","전라남도 장성군 삼서면 유평리 775번지 3호","4","4","","","","좌표를 찾을 수 없음"
"공중화장실","황룡과수랜드 화장실","","전라남도 장성군 황룡면 신호리 409번지","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","필암서원 대형주차장 화장실","","전라남도 장성군 황룡면 필암리 631번지 8호","1","3","","","","좌표를 찾을 수 없음"
"공중화장실","황룡 파크골프장 A","","전라남도 장성군 황룡면 월평리 200번지 146호","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","황룡강(광명공업사앞)","","전라남도 장성군 황룡면 장산리 1번지 60호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","장성호 주차장 2 화장실","","전라남도 장성군 장성읍 용강리 177번지 3호","1","3","","","","좌표를 찾을 수 없음"
"공중화장실","문화시설 태양광주차장 화장실","","전라남도 장성군 장성읍 기산리 443번지 4호","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","용매골 화장실","","전라남도 장성군 삼계면 화산리 산 136번지 1호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","태안사 야영장","전라남도 곡성군 죽곡면 원달리 산 18번지","전라남도 곡성군 죽곡면 원달리 산 18번지","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","태평교 아래 천변","전라남도 곡성군 죽곡면 태평리 405번지","전라남도 곡성군 죽곡면 태평리 405번지","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","연꽃방죽체육공원","전라남도 곡성군 고달면 목동리 272번지 1호","전라남도 곡성군 고달면 목동리 272번지 1호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","봉동교 옆","전라남도 곡성군 오산면 봉동리 866번지 7호","전라남도 곡성군 오산면 봉동리 866번지 7호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","관음사 입구 주차장","전라남도 곡성군 오산면 선세리 18번지 7호","전라남도 곡성군 오산면 선세리 18번지 7호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","고속도로 다리 밑","전라남도 곡성군 오산면 연화리 370번지 10호","전라남도 곡성군 오산면 연화리 370번지 10호","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","삼기면 원등리 버스승강장","전라남도 곡성군 삼기면 곡순로 1436","전라남도 곡성군 삼기면 원등리 426번지","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","매월저수지1","전라남도 곡성군 입면 매월리 산 187번지 6호","전라남도 곡성군 입면 매월리 산 187번지 6호","1","1","","","","좌표를 찾을 수 없음"
