구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,메모,WGS84위도,WGS84경도,오류사유
"공중화장실","암벽등반벽","","서울특별시 노원구","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","수락배트민턴장","","서울특별시 노원구","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","벽운클럽","","서울특별시 노원구","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","성천배드민턴장","","서울특별시 노원구","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","달샘배트민턴장","","서울특별시 노원구","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","광덕사 일대","","서울특별시 노원구 상계동","1","3","","","","좌표를 찾을 수 없음"
"개방화장실","방화대교 남단 게이트볼장 화장실","서울특별시 강서구 방화3동 53-11","","2","1","10:00~17:00","","","좌표를 찾을 수 없음"
"개방화장실","강서개화축구장 화장실","인천광역시 계양구 하야동 27-1","","4","4","08:00~22:00","","","좌표를 찾을 수 없음"
"공중화장실","롯데백화점 구관 2층","서울특별시 영등포구 경인로 850(영등포동, 영등포민자역사)","","2","6","10:30~20:00","","","좌표를 찾을 수 없음"
"공중화장실","갈대2축구장","서울특별시 영등포구 양평동6가","서울특별시 영등포구 양평동6가","1","2","24시간","","","좌표를 찾을 수 없음"
"개방화장실","국립서울현충원 민원안내실","서울특별시 동작구 동작동","서울특별시 동작구 동작동","1","4","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","국립서울현충원 제1제례동","서울특별시 동작구 동작동","서울특별시 동작구 동작동","5","10","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","국립서울현충원 제2제례동","서울특별시 동작구 동작동","서울특별시 동작구 동작동","5","7","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","국립서울현충원 유격대화장실","서울특별시 동작구 동작동","서울특별시 동작구 동작동","3","4","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","국립서울현충원 YTL화장실","서울특별시 동작구 동작동","서울특별시 동작구 동작동","3","5","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","국립서울현충원 박대묘화장실","서울특별시 동작구 동작동","서울특별시 동작구 동작동","4","8","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","국립서울현충원 이대묘화장실","서울특별시 동작구 동작동","서울특별시 동작구 동작동","2","5","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","위시존 강남점","서울특별시 헌릉로569길 39-5","","3","1","상시","","","좌표를 찾을 수 없음"
"공중화장실","율현3공원","서울특별시 강남구 율현로77-9","","3","8","24시","","","좌표를 찾을 수 없음"
"공중화장실","율현4공원","서울특별시 강남구 율현로77-9","","2","4","24시","","","좌표를 찾을 수 없음"
"공중화장실","망우산 어린이 모험 놀이터","서울특별시 중랑구 면목동 산69-1,용마랜드 뒤","","1","1","","","","좌표를 찾을 수 없음"
"(임시청사),서울특별시중랑구 동일로129길 1","5층,,1,1,09:00~18:00,,","좌표를 찾을 수 없음"
"공중화장실","간대어린이공원 화장실","","서울특별시 성북구 장위동 207-49","1","3","24시간","","","좌표를 찾을 수 없음"
"공중화장실","동빙고 빗물펌프장 화장실","서울특별시 용산구 서빙고로 299 (동빙고동)","","1","1","-","","","좌표를 찾을 수 없음"
"공중화장실","㈜영원에너지","좌표를 찾을 수 없음"
"개방화장실","㈜새서울개발주차장","좌표를 찾을 수 없음"
