시간,유형,메시지
"오후 1:30:08","info","컬럼 매핑: 이름(1), 도로명(2), 지번(3), 좌표(7, 8)"
"오후 1:30:08","info","작업 시작: 1397 건 / 지역: 광주광역시 "
"오후 1:30:08","info","[1/1397] 상수도사업본부 북부사업소 : 주소 검색 시도[road]-> ""광주광역시 북구 용봉로 111"""
"오후 1:30:09","info","[1/1397] 상수도사업본부 북부사업소 : 역지오코딩 검증 중..."
"오후 1:30:09","success","[1/1397] 상수도사업본부 북부사업소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:09","success","[1/1397] 상수도사업본부 북부사업소 : 주소 검색 성공[road]"
"오후 1:30:09","info","[1/1397] 상수도사업본부 북부사업소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 상수도사업본부 북부사업소"""
"오후 1:30:09","success","[1/1397] 상수도사업본부 북부사업소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (0m)"
"오후 1:30:09","info","[1/1397] 상수도사업본부 북부사업소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:09","warning","[1/1397] 상수도사업본부 북부사업소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:09","success","[1/1397] 상수도사업본부 북부사업소 : 변환 성공"
"오후 1:30:09","info","[2/1397] 서광주IC주유소 : 주소 검색 시도[road]-> ""광주광역시 북구 하서로 47"""
"오후 1:30:09","info","[2/1397] 서광주IC주유소 : 역지오코딩 검증 중..."
"오후 1:30:09","success","[2/1397] 서광주IC주유소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:09","success","[2/1397] 서광주IC주유소 : 주소 검색 성공[road]"
"오후 1:30:09","info","[2/1397] 서광주IC주유소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 서광주IC주유소"""
"오후 1:30:09","success","[2/1397] 서광주IC주유소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (15m)"
"오후 1:30:09","info","[2/1397] 서광주IC주유소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:09","warning","[2/1397] 서광주IC주유소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:09","success","[2/1397] 서광주IC주유소 : 변환 성공"
"오후 1:30:09","info","[3/1397] 서림주유소 : 주소 검색 시도[road]-> ""광주광역시 북구 무등로 126"""
"오후 1:30:09","info","[3/1397] 서림주유소 : 역지오코딩 검증 중..."
"오후 1:30:10","success","[3/1397] 서림주유소 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:10","success","[3/1397] 서림주유소 : 주소 검색 성공[road]"
"오후 1:30:10","info","[3/1397] 서림주유소 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 서림주유소"""
"오후 1:30:10","success","[3/1397] 서림주유소 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (12m)"
"오후 1:30:10","info","[3/1397] 서림주유소 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:10","warning","[3/1397] 서림주유소 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:10","success","[3/1397] 서림주유소 : 변환 성공"
"오후 1:30:10","info","[4/1397] 석곡동  행정복지센터 : 주소 검색 시도[road]-> ""광주광역시 북구 석곡로 634"""
"오후 1:30:10","info","[4/1397] 석곡동  행정복지센터 : 역지오코딩 검증 중..."
"오후 1:30:10","success","[4/1397] 석곡동  행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 1:30:10","success","[4/1397] 석곡동  행정복지센터 : 주소 검색 성공[road]"
"오후 1:30:10","info","[4/1397] 석곡동  행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""광주광역시 석곡동 행정복지센터"""
"오후 1:30:10","success","[4/1397] 석곡동  행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (3m)"
"오후 1:30:10","info","[4/1397] 석곡동  행정복지센터 : 입력좌표 vs 검색좌표 거리 = 0 m"
"오후 1:30:10","warning","[4/1397] 석곡동  행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 1:30:10","success","[4/1397] 석곡동  행정복지센터 : 변환 성공"
"오후 1:30:10","info","[5/1397] 성실주유소 : 주소 검색 시도[road]-> ""광주광역시 북구 우치로 347"""
