구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"간이화장실","대항새바지동굴앞","부산 강서구 가덕해안로1169번길 58-14 대항새바지동굴앞","1","1","2","",35.01417,128.8346
"개방화장실","우양네트웍스 삼광주유소","부산 강서구 공항로 799 우양네트웍스 삼광주유소","1","1","2","정시",35.17854,128.9576
"개방화장실","신명지에너지","부산 강서구 르노삼성대로 560 신명지에너지","1","1","1","정시",35.09782,128.9275
"개방화장실","대양석유 한마음주유소","부산 강서구 르노삼성대로 604 대양석유 한마음주유소","1","1","2","정시",35.10183,128.9285
"개방화장실","가락충전소","부산 강서구 호계로 195 가락충전소","1","2","1","",35.20873,128.8902
"개방화장실","가락제일주유소","부산 강서구 가락대로 1417 가락제일주유소","1","2","1","정시",35.19129,128.9038
"개방화장실","녹산화물터미널주유소","부산 강서구 녹산산업북로 119 녹산화물터미널주유소","1","2","1","정시",35.09945,128.8373
"개방화장실","만선주유소","부산 강서구 가락대로210번길 102 만선주유소","1","1","1","정시",35.1057,128.8439
"개방화장실","지하철강서구청역","부산 강서구 낙동북로 485 지하철강서구청역","1","4","8","정시",35.21156,128.981
"간이화장실","봉화산등산로","부산 강서구 생곡동 산 61-5 봉화산등산로","1","1","1","",35.12073,128.8715
"간이화장실","항월마을","부산 강서구 가덕해안로2번길 252 항월마을","1","1","1","",35.07347,128.838
"간이화장실","동선새바지","부산 강서구 동선새바지길 290-46","1","2","2","",35.05465,128.8479
"간이화장실","선창입구","부산 강서구 가덕해안로 22 선창입구","1","1","2","",35.06671,128.8335
"간이화장실","동선샛바람길","부산 강서구 동선새바지길 139-5 동선샛바람길","1","1","2","",35.05383,128.8387
"간이화장실","노적봉공원","부산 강서구 낙동남로 776 노적봉공원","1","1","1","",35.119987,128.8988302
"개방화장실","가락동행정복지센터","부산 강서구 가락대로 1476 가락동행정복지센터","1","1","2","정시",35.19641,128.9017
"개방화장실","녹산동행정복지센터","부산 강서구 가락대로900번가길 32 녹산동행정복지센터","1","2","2","정시",35.15368,128.8838
"개방화장실","강동보건지소","부산 강서구 낙동북로102번길 76 강동보건지소","1","3","3","정시",35.21635,128.9375
"개방화장실","부산진해경제자유구역청","부산 강서구 녹산산단232로 38-26 부산진해경제자유구역청","1","2","2","정시",35.08646,128.8403
"개방화장실","부산공항LPG충전소","부산 강서구 공항로 459 부산공항LPG충전소","1","1","1","",35.14922,128.952
"개방화장실","김해공항주유소","부산 강서구 공항진입로 25 김해공항주유소","1","1","1","정시",35.18119,128.9555
"개방화장실","은마석유 강서주유소","부산 강서구 공항로 483 은마석유 강서주유소","1","1","1","정시",35.1509,128.9529
"개방화장실","홈123에너지","부산 강서구 낙동남로 127 홈123에너지","1","1","1","정시",35.10212,128.8369
"개방화장실","경인에너지","부산 강서구 생곡로 40 경인에너지","1","2","2","정시",35.12493,128.8975
"간이화장실","소양보육원앞","부산 강서구 동선길 354 소양보육원앞","1","1","1","",35.0434,128.8299
"간이화장실","명지오션시티 서편","부산 강서구 명지오션시티1로 28 명지오션시티 서편","1","1","2","",35.08677,128.8959
"개방화장실","부산신항주유소","부산 강서구 가락대로 706 부산신항주유소","1","1","2","정시",35.13707,128.8697
"개방화장실","대양산업대양가덕주유소","부산 강서구 거가대로 2571 대양산업대양가덕주유소","1","1","2","정시",35.02301,128.8079
"개방화장실","유성주유소","부산 강서구 생곡로 337 유성주유소","1","1","1","정시",35.13832,128.8789
"간이화장실","두문마을앞","부산 강서구 가덕해안로 691 두문마을앞","1","1","1","",35.03509,128.8121
"간이화장실","천성국군묘지","부산 강서구 서천로42번길 351 천성국군묘지","1","1","2","",35.03989,128.8284
"간이화장실","무궁화공원","부산 강서구 대저중앙로 248 무궁화공원","1","1","1","",35.22035,128.9743
"간이화장실","동서교 옆","부산 강서구 평강로 54 동서교 옆","1","2","2","",35.19685,128.9315
"간이화장실","숭림사","부산 강서구 낙동남로 641 숭림사","1","1","2","",35.11611,128.888
"간이화장실","천성서중마을","부산 강서구 가덕해안로 750-1 천성서중마을","1","2","6","",35.03038,128.8114
"간이화장실","장항전망대","부산 강서구 가덕해안로 394 장항전망대","1","1","1","",35.05401,128.8005
"간이화장실","제방변","부산 강서구 공항로 746 제방변","1","1","2","",35.17381,128.9601
"간이화장실","제방변","부산 강서구 공항로 922 제방변","1","2","2","",35.18873,128.9608
"간이화장실","삼성자동차동문","부산 강서구 화전산업대로 32 삼성자동차동문","1","2","3","",35.09253,128.8875
"개방화장실","우리2주유소","부산 강서구 낙동북로 142 우리2주유소","1","1","2","정시",35.21553,128.9444
"개방화장실","오봉주유소","부산 강서구 호계로 1 오봉주유소","1","1","1","정시",35.19613,128.9011
"개방화장실","CJ대한통운 성민주유소","부산 강서구 가락대로 389 CJ대한통운 성민주유소","1","1","2","정시",35.1172794774404,128.844515201672
"개방화장실","소모 과학셀프주유소","부산 강서구 과학산단로 297 소모 과학셀프주유소","1","1","2","정시",35.1488,128.8372
"개방화장실","명지시장 주차장","부산 강서구 신포길 13-10 명지시장 주차장","1","1","1","",35.11299,128.9317
"간이화장실","가락생태공원","부산 강서구 식만로 68-18 가락생태공원","1","1","1","",35.1981588,128.9021462
"간이화장실","가락오봉산","부산 강서구 가락대로1433번길 37-29 가락오봉산","1","1","2","",35.19143,128.9029
"개방화장실","OS신항주유소","부산 강서구 가락대로 845 OS신항주유소","1","1","1","",35.14772,128.877
"개방화장실","산업단지관리사업소","부산 강서구 녹산산단262로50번길 53 산업단지관리사업소","1","3","3","정시",35.08422,128.8401
"개방화장실","신항만LPG충전소","부산 강서구 가락대로 397 신항만LPG충전소","1","1","2","",35.1180126184014,128.844893461366
"개방화장실","강서체육공원 보조경기장","부산 강서구 체육공원로 43 강서체육공원 보조경기장","1","4","5","09:00~18:00",35.2107910858,128.9724093475
"개방화장실","강동동행정복지센터","부산 강서구 제도로 1171 강동동행정복지센터","1","2","2","정시",35.21463,128.9353
"개방화장실","수산자원연구소 휴게동","부산 강서구 명지오션시티7로 12 수산자원연구소 휴게동","1","3","8","",35.088041,128.908958
"개방화장실","김해국제공항 국제선청사","부산 강서구 공항진입로 108 김해국제공항 국제선청사","1","11","13","정시(05:00~23:00)",35.1729,128.9458
"개방화장실","죽림LPG충전소","부산 강서구 호계로 102 죽림LPG충전소","1","1","1","",35.20075,128.8937
"개방화장실","가덕파출소","부산 강서구 동선길 134 가덕파출소","1","1","1","",35.05288,128.831
"개방화장실","강서체육공원 야외","부산 강서구 체육공원로 43 강서체육공원 야외","1","4","4","",35.209883815,128.97234141
"공중화장실","희망공원","부산 강서구 녹산산단321로 50 희망공원","1","2","3","",35.0924,128.8533
"개방화장실","강서구여성센터","부산 강서구 낙동북로 477 강서구여성센터","1","4","9","정시",35.21254,128.9807
"개방화장실","농업인복지회관","부산 강서구 가락대로 1392 농업인복지회관","1","6","5","정시",35.18884,128.9045
"개방화장실","경전철대사역","부산 강서구 낙동북로 82 경전철대사역","1","4","6","정시",35.21797,128.938
"개방화장실","김해공항 국제선","부산 강서구 공항진입로 108 김해공항 국제선","1","87","167","06:00~22:00",35.17307,128.9469
"개방화장실","가덕도동행정복지센터","부산 강서구 동선길 10 가덕도동행정복지센터","1","6","10","09:00~18:00",35.0566596,128.8317344
"개방화장실","대경산업 구랑주유소","부산 강서구 가락대로 546 대경산업 구랑주유소","1","2","2","정시",35.12769,128.8567
"개방화장실","맥도주유소","부산 강서구 공항로 381 맥도주유소","1","2","2","정시",35.14238,128.9492
"개방화장실","명품주유소","부산 강서구 대저로 235 명품주유소","1","1","1","정시",35.21483,128.9787
"개방화장실","서부산주유소","부산 강서구 남해2지선고속도로 19 서부산주유소","1","1","1","",35.1572887943106,128.948762482451
"간이화장실","내눌삼거리방조제앞","부산 강서구 동선새바지길 425 내눌삼거리방조제앞","1","1","1","",35.06173,128.8476
"간이화장실","지사천","부산 강서구 과학산단로 194-4 지사천","1","1","3","",35.14359,128.8458
"간이화장실","명지75광장","부산 강서구 을숙도대로 150 명지75광장","1","1","1","",35.0931187,128.9235914
