구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","아산시 자전거도로","충남 아산시 신창면 오목리 산 113-2 아산시 자전거도로","1","1","1","",36.8044527203698,126.920182635906
"공중화장실","아산시청소년교육문화센터 본관","충남 아산시 시민로 500 아산시청소년교육문화센터 본관","1","7","17","09:00~21:00",36.7940214350947,127.002312686057
"공중화장실","아산시청소년교육문화센터 별관","충남 아산시 시민로 500 아산시청소년교육문화센터 별관","1","1","3","09:00~21:00",36.7940214350947,127.002312686057
"공중화장실","한국폴리텍대학 아산캠퍼스 실습C동","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 실습C동","1","7","10","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","한국폴리텍대학 아산캠퍼스 BTL공학관","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 BTL공학관","1","19","34","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","한국폴리텍대학 아산캠퍼스 생활관","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 생활관","1","8","9","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","한국폴리텍대학 아산캠퍼스 복지관동","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 복지관동","1","7","5","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","한국폴리텍대학 아산캠퍼스 혁신기술센터","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 혁신기술센터","1","6","9","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","한국폴리텍대학 아산캠퍼스 본관동","충남 아산시 신창면 행목로 45 한국폴리텍대학 아산캠퍼스 본관동","1","9","9","07:00-23:00",36.7720509090561,126.948845432823
"공중화장실","파라다이스 스파도고","충남 아산시 선장면 도고온천로 176-1 파라다이스 스파도고","1","19","25","09:00-20:00",36.7662032975464,126.886014068677
"공중화장실","정석프라자","충남 아산시 둔포면 아산밸리중앙로 80-13 정석프라자","1","7","21","",36.922348949378,127.057013240587
"공중화장실","엔마트 아산점","충남 아산시 둔포면 석곡길 16 엔마트 아산점","1","4","6","",36.9189783858088,127.054365231635
"공중화장실","아산배방와이몰","충남 아산시 배방읍 광장로 210 아산배방와이몰","1","24","41","",36.7974341806554,127.109240560226
"공중화장실","드림타워","충남 아산시 둔포면 아산밸리중앙로 25 드림타워","1","14","14","",36.9237397517032,127.050735186621
"공중화장실","펜타폴리스 오피스텔","충남 아산시 배방읍 광장로 177-10 펜타폴리스 오피스텔","1","6","4","",36.797784450418,127.105030826252
"공중화장실","스마트타워","충남 아산시 탕정면 이순신대로 442 스마트타워","1","29","30","",36.7969859222199,127.052830568458
"공중화장실","호서대학교 학생식당","충남 아산시 배방읍 호서로 75 호서대학교 학생식당","1","7","8","(학기)09:00-17:30+(방학)09:00-17:00",36.7400867861569,127.076905194362
"공중화장실","호서대학교 예술관","충남 아산시 배방읍 호서로 75 호서대학교 예술관","1","18","18","(학기)09:00-17:30+(방학)09:00-17:00",36.7400867861569,127.076905194362
"공중화장실","호서대학교 체육관","충남 아산시 배방읍 호서로 75 호서대학교 체육관","1","10","13","(학기)09:00-17:30+(방학)09:00-17:00",36.7400867861569,127.076905194362
