구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,남조봉공원,제주특별자치도 제주시 오라2동 산 21,1,1,3,24시간,33.47867249,126.5041249
공중화장실,민속오일시장D(농협 좌측),제주 제주시 오일장서길 26,1,3,6,24시간,33.49647281,126.4752699
공중화장실,민속오일시장E(8번주차장옆),제주특별자치도 제주시 도두일동 1300-1,1,4,8,06:00~22:00,33.49754887,126.474954
간이화장실,단풍나무숲 화장실,제주특별자치도 제주시 용강동 산 14-1,1,1,2,09:00~18:00,33.43064219,126.5961155
개방화장실,동부하수처리장 관리동,제주특별자치도 제주시 구좌읍 월정리 1400-103,1,2,2,,33.5625535,126.7785867
개방화장실,서부하수처리장 관리동,제주특별자치도 제주시 한경면 판포리 1459-1,1,4,2,09:00~18:00,33.37234649,126.2078112
개방화장실,오도롱풋살장,제주특별자치도 제주시 덕지4길 79,1,2,3,09:00 - 18:00,33.48974239,126.4559206
개방화장실,지하상가 5번·7번 출입구,제주특별자치도 제주시  중앙로 지하 60,-1,0,7,24시간,33.51329547,126.5247272
개방화장실,지하상가 1번·2번 출입구,제주특별자치도 제주시 일도일동 1476-46,-1,4,7,24시간,33.51306439544118 ,126.5267762
개방화장실,지하상가 9번 출입구,제주특별자치도 제주시 관덕로 지하 38,-1,5,8,24시간,33.51329456,126.5233173
