구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,은평구민체육센터,서울 은평구 진관1로 40 은평구민체육센터,1,4,5,,37.630415,126.923681
개방화장실,매바위공동주차장,서울 은평구 가좌로5길 16 매바위공동주차장,1,1,1,,37.586476,126.921047
개방화장실,은평평화공원 공영주차장,서울 은평구 서오릉로 지하 47 은평평화공원 공영주차장,1,1,2,,37.605149,126.923023
개방화장실,응암공영주차장,서울 은평구 불광천길 436 응암공영주차장,1,1,1,,37.593427,126.915413
개방화장실,수색공영주차장,서울 은평구 수색로12길 2 수색공영주차장,1,1,1,,37.580501,126.898951
개방화장실,은평 공영차고지,서울 은평구 수색로24길 19 은평 공영차고지,1,2,1,,37.592004,126.883958
개방화장실,은평 공영차고지 2,서울 은평구 수색로24길 19 은평 공영차고지 2,1,1,1,,37.591761,126.883685
개방화장실,국민건강보험 은평지사,서울 은평구 통일로71길 16 국민건강보험 은평지사,1,6,6,,37.613444,126.92606
개방화장실,지체협회 지회,서울 은평구 가좌로 276-9 지체협회 지회,1,1,1,,37.593828,126.913225
공중화장실,앵봉산가족캠핑장,서울 은평구 통일로 1055 앵봉산가족캠핑장,1,3,6,,37.63591,126.914105
간이화장실,봉산 편백숲,서울 은평구 은평터널로9가길 9 봉산 편백숲,1,1,3,,37.595089,126.901799
개방화장실,인정병원,서울 은평구 응암로 164 인정병원,1,2,2,,37.586558,126.916559
개방화장실,서울 은평병원,서울 은평구 백련산로 90 서울 은평병원,1,17,18,,37.59438,126.9233
개방화장실,세광교회,서울 은평구 갈현로 192 세광교회,1,5,9,,37.614658,126.912928
개방화장실,맥도날드 연신내점,서울 은평구 연서로 213 맥도날드 연신내점,1,1,2,,37.617631,126.919263
개방화장실,보광빌딩,서울 은평구 통일로 730 보광빌딩,1,2,2,,37.610785,126.930047
개방화장실,한화생명빌딩,서울 은평구 통일로 742 한화생명빌딩,1,2,2,,37.611774,126.92932
개방화장실,연신내메디컬센터,서울 은평구 연서로 246 연신내메디컬센터,1,2,2,,37.619089,126.922595
