구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"개방화장실","중구청사 본관","울산 중구 단장골길 1 중구청사 본관","1","19","22","06:00-24:00",35.5692154199966,129.332180384778
"개방화장실","중구청사 의회동","울산 중구 단장골길 1 중구청사 의회동","1","11","22","06:00-24:00",35.5692154199966,129.332180384778
"개방화장실","문화의전당","울산 중구 종가로 405 문화의전당","1","12","25","09:00~18:00",35.5675421780557,129.321536438135
"개방화장실","병영1동 행정복지센터","울산 중구 병영3길 8 병영1동 행정복지센터","1","2","4","09:00~18:00",35.5700405886727,129.346581672342
"개방화장실","병영경로당 다목적홀","울산 중구 병영3길 10 병영경로당 다목적홀","2","1","2","09:00~18:00",35.5702231663505,129.34651101359
"개방화장실","병영2동 행정복지센터","울산 중구 병영성7길 9 병영2동 행정복지센터","1","3","4","09:00~18:00",35.5793920456696,129.34596712272
"개방화장실","성안동 행정복지센터","울산 중구 백양로 34 성안동 행정복지센터","1","6","12","09:00~18:00",35.5744267947933,129.309759729687
"개방화장실","반구1동 행정복지센터","울산 중구 화합로 340 반구1동 행정복지센터","1","1","1","09:00~18:00",35.5564158786625,129.341628815168
"개방화장실","반구2동 행정복지센터","울산 중구 구교4길 40 반구2동 행정복지센터","1","2","3","09:00~18:00",35.5633580431395,129.340789868758
"개방화장실","복산1동 행정복지센터","울산 중구 북부순환도로 610 복산1동 행정복지센터","1","2","2","09:00~18:00",35.5630295344762,129.32704686464
"개방화장실","약사동 행정복지센터","울산 중구 중앙길 199 약사동 행정복지센터","1","3","4","09:00~18:00",35.5574592167681,129.324057643375
"개방화장실","우정동행정복지센터","울산 중구 장춘로 30 우정동행정복지센터","1","6","12","09:00~18:00",35.5552694454833,129.312517463525
"개방화장실","중앙동 행정복지센터","울산 중구 중앙길 199 중앙동 행정복지센터","1","7","8","09:00~18:00",35.5574592167681,129.324057643375
"개방화장실","태화동 행정복지센터","울산 중구 유곡로 45 태화동 행정복지센터","1","1","3","09:00~18:00",35.556532068827,129.304480512635
"개방화장실","학성동 행정복지센터","울산 중구 구교로 92 학성동 행정복지센터","1","6","15","09:00~18:00",35.5553558913513,129.334317815746
"개방화장실","다운동 행정복지센터","울산 중구 운곡길 6 다운동 행정복지센터","1","2","6","09:00~18:00",35.5562632235731,129.275725785254
"개방화장실","중구보건소","울산 중구 외솔큰길 225 중구보건소","1","8","12","09:00~18:00",35.5694559544782,129.350415577615
"개방화장실","중구건강지원센터","울산 중구 태화로 95 중구건강지원센터","1","4","7","09:00~18:00",35.5534220942699,129.286549406103
"개방화장실","종합운동장 보조경기장옥외","울산 중구 염포로 55 종합운동장 보조경기장옥외","1","5","5","",35.5623220084266,129.347996281587
"개방화장실","종합운동장 서측옥외","울산 중구 염포로 55 종합운동장 서측옥외","1","3","4","09:00~22:00",35.5623220084266,129.347996281587
"개방화장실","종합운동장 동측옥외","울산 중구 염포로 55 종합운동장 동측옥외","1","4","4","09:00~22:00",35.5623220084266,129.347996281587
"개방화장실","대나무테마정원","울산 중구 십리대숲길 121 대나무테마정원","1","2","2","",35.5500779567285,129.299077457986
"개방화장실","청소년푸른쉼터","울산 중구 태화강북자전거길 484 청소년푸른쉼터","1","1","2","",35.5525,129.3146
"개방화장실","옥교배수장","울산 중구 태화강북자전거길 350 옥교배수장","1","2","2","",35.5519,129.3287
"개방화장실","상수도사업본부 중부사업소 실내","울산 중구 종가로 362-12 상수도사업본부 중부사업소 실내","1","3","7","9시간",35.5639,129.3158
"개방화장실","가구삼거리","울산 중구 태화강북자전거길 286 가구삼거리","1","1","1","",35.5515822131505,129.333045576327
"개방화장실","동학관","울산 중구 원유곡길 106-1 동학관","1","2","3","09:00~18:00",35.5664286391224,129.291125903443
"개방화장실","동 헌","울산 중구 동헌길 167 동 헌","1","4","4","",35.5577240125917,129.32027143529
"개방화장실","큐빅광장","울산 중구 학성로 65 큐빅광장","1","1","2","",35.5547482294683,129.318152270749
"개방화장실","함월루","울산 중구 함월1길 7 함월루","1","2","3","",35.5710351918858,129.313123535514
"개방화장실","옥골시장 고객지원센터","울산 중구 중앙시장길 21-5 옥골시장 고객지원센터","1","1","2","",35.5554287498346,129.323624215633
"개방화장실","구역전시장 고객지원센터","울산 중구 구역전길 24-4 구역전시장 고객지원센터","1","3","4","",35.5572968166588,129.328577411449
"개방화장실","신울산종합시장 공영주차장","울산 중구 서원1길 59 신울산종합시장 공영주차장","1","1","2","",35.5608660497735,129.337524023591
"개방화장실","태화종합시장 고객지원센터","울산 중구 화진길 20-4 태화종합시장 고객지원센터","1","2","5","",35.5541998349967,129.307414972749
"개방화장실","태화종합시장 상인교육장 및 고객휴게실","울산 중구 유곡로 9-1 태화종합시장 상인교육장 및 고객휴게실","1","1","3","09:00~18:00",35.5562449725158,129.308516062995
"개방화장실","학성새벽시장 공영주차장","울산 중구 학성로 205 학성새벽시장 공영주차장","1","1","3","",35.5571046787555,129.333223541467
"개방화장실","내황배수장 앞","울산 중구 내황14길 104 내황배수장 앞","1","1","2","",35.5506597681644,129.350575293063
"개방화장실","서덕출공원","울산 중구 복산5길 17 서덕출공원","1","1","3","",35.5608215574727,129.324293703174
"개방화장실","구름공원1","울산 중구 구루미9길 37-1 구름공원1","1","1","3","",35.5563485012328,129.27175518076
"개방화장실","태화근린공원","울산 중구 신기16길 60 태화근린공원","1","1","1","",35.5562660886443,129.297764875456
"개방화장실","다전생태공원","울산 중구 다운동 633 다전생태공원","1","1","2","",35.5661,129.2693
"개방화장실","우정공원","울산 중구 우정8길 23 우정공원","1","1","3","",35.560403717953,129.310980074835
"개방화장실","새이골공원","울산 중구 종가14길 22-12 새이골공원","1","2","4","",35.5771317305792,129.337299390694
"개방화장실","공룡발자국공원","울산 중구 유곡동 259-2 공룡발자국공원","1","2","4","",35.5626205693757,129.306160692672
"개방화장실","장무공원","울산 중구 서원3길 63 장무공원","1","1","3","",35.5596835664211,129.334894916064
"개방화장실","정지말공원","울산 중구 남외1길 39 정지말공원","1","1","3","",35.5654397981469,129.34986527919
"개방화장실","학성공원1","울산 중구 학성공원3길 54 학성공원1","1","1","3","",35.5559,129.3379
"개방화장실","학성공원2","울산 중구 학성공원3길 54 학성공원2","1","2","4","",35.5544597825482,129.339313504381
