구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도
개방화장실,우보보건지소 화장실,대구광역시 군위군 우보면 이화길 135-1,대구광역시 군위군 우보면 이화리 1218-1,2,2,09:00~18:00,36.196288,128.664556
개방화장실,효령보건지소 화장실,"대구광역시 군위군 효령면 치산효령로 2402, 효령보건지소",대구광역시 군위군 효령면 중구리 212-1,2,2,09:00~18:00,36.156783,128.584993
개방화장실,화본역 화장실,대구광역시 군위군 산성면 산성가음로 711-9,대구광역시 군위군 산성면 화본리 1224-1,3,3,06:00~21:00,36.12688,128.69487
개방화장실,군위(춘천)주유소,대구광역시 군위군 경북대로 4082,대구광역시 군위군 군위읍 오곡리 산 68-8,2,2,,36.26707,128.5769
개방화장실,군위(부산)주유소,대구광역시 군위군 경북대로 4084,대구광역시 군위군 군위읍 오곡리 산 67-5,2,2,,36.26499,128.5748
개방화장실,군위(춘천)휴게소,대구광역시 군위군 경북대로 4082,대구광역시 군위군 군위읍 오곡리 산 68-8,13,33,,36.26529,128.5767
개방화장실,군위(부산)휴게소,대구광역시 군위군 경북대로 4084,대구광역시 군위군 군위읍 오곡리 산 67-5,13,33,,36.26664,128.575
공중화장실,석산분교장,"대구광역시 군위군 삼국유사면 삼국유사로 1314, 석산분교장",대구광역시 군위군 삼국유사면 석산리 547-1 석산분교장,2,2,08:30~16:30,36.1750306,128.8548074
공중화장실,군위경찰서 화장실,대구광역시 군위군 군위읍 중앙길 74,대구광역시 군위군 군위읍 서부리 64,13,4,09:00~18:00,36.23476779,128.5665887
공중화장실,중앙파출소 화장실,대구광역시 군위군 군위읍 중앙길 73,대구광역시 군위군 군위읍 서부리 63,2,2,,36.23505306,128.5662253
공중화장실,소보치안센터 화장실,대구광역시 군위군 소보면 송원3길 12,대구광역시 군위군 소보면 송원리 678-7,1,2,09:00~18:00,36.25529508,128.4767029
공중화장실,효령파출소 화장실,대구광역시 군위군 효령면 치산효령로 2383,대구광역시 군위군 효령면 중구리 194-2,2,2,,36.1560799,128.5869715
공중화장실,부계파출소 화장실,대구광역시 군위군 부계면 창평길 29,대구광역시 군위군 부계면 창평리 1011-1,1,1,,36.09882163,128.6655969
이동화장실,사과시험장 앞,대구광역시 군위군 소보면 위성리 1191-70,대구광역시 군위군 소보면 위성리 1191-70,1,1,09:00~24:00,37.57871896,126.8136575
