구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","갑천 우안-21","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-16","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-18","대전광역시 서구","","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-21","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-23","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-24","대전광역시 서구","","2","2","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-25","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-22","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-23","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-24","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-26","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-27","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-28","대전광역시 서구","","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-31","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-32","대전광역시 서구","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-33","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-41","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","갑천 우안-42","대전광역시 서구","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","유등천 좌안-26","대전광역시 서구","","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","장안동 버스종점","대전광역시 서구","","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","정뱅이마을 다리옆","대전광역시 서구","","1","1","","","","좌표를 찾을 수 없음"
