구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"공중화장실","북분리해수욕장 화장실2","","강원특별자치도 양양군 현북면 북분리 2-5","4","3","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","북분리해수욕장 화장실1","","강원특별자치도 양양군 현북면 북분리 2-5","4","3","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","현남면게이트볼장 화장실","강원특별자치도 양양군 현남면 인구길 33","","1","1","09:00~18:00","","","좌표를 찾을 수 없음"
"공중화장실","서1리 음지촌(산책로)","","기린면 서리 대내마을 테니스장 인근","1","2","","","","좌표를 찾을 수 없음"
"공중화장실","백덕산 등산로 주차장","","강원특별자치도 평창군 방림면 운교리 743-1","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","중대 화장실","","강원특별자치도 평창군 진부면 동산리 350-1","1","2","","","","좌표를 찾을 수 없음"
"개방화장실","북대 화장실","","강원특별자치도 평창군 진부면 동산리 350-1","2","4","","","","좌표를 찾을 수 없음"
"개방화장실","상원여성전용화장실1","","강원특별자치도 평창군 진부면 동산리 350-1","1","6","","","","좌표를 찾을 수 없음"
"공중화장실","구)재활용창고 화장실","","강원특별자치도 임계면 송계리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","시장화장실","","강원특별자치도 정선군 임계면 송계리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","내도전감자창고 화장실","","강원특별자치도 정선군 임계면 도전리","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","화암동굴 입구 화장실","강원특별자치도 정선군 정선읍 화암동굴길 12","","5","9","","","","좌표를 찾을 수 없음"
"개방화장실","화암동굴 출구 화장실","강원특별자치도 정선군 정선읍 화암동굴길 12","","5","7","","","","좌표를 찾을 수 없음"
"개방화장실","용연동굴 야외 화장실","강원특별자치도 태백시 태백로 283-30 (황지동)","","3","5","","","","좌표를 찾을 수 없음"
"공중화장실","둔내 구터미널 공중화장실","","강원특별자치도 횡성군 둔내면 둔방1리 89-3","1","3","","","","좌표를 찾을 수 없음"
"간이화장실","화촌면 야시대2리 5(품걸교아래)","","강원특별자치도 홍천군 화촌면 야시대리","1","1","","","","좌표를 찾을 수 없음"
"간이화장실","화촌면 야시대2리 6(품걸교)","","강원특별자치도 홍천군 화촌면 야시대리","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","소사상행선주유소","","강원특별자치도 횡성군 안흥면 소사리1514-1","1","4","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","소사하행선주유소","","강원특별자치도 횡성군 안흥면 소사리1537-1","1","4","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","성우주유소","","강원특별자치도 횡성군 둔내면 둔방내리315-6","2","3","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","하이웨이주유소","","강원특별자치도 횡성군 안흥면 안흥리1060-1","1","2","근무시간","","","좌표를 찾을 수 없음"
"공중화장실","우천 공중화장실","","강원특별자치도 횡성군 우천면 우항리 583-2외 8필지","3","5","","","","좌표를 찾을 수 없음"
"개방화장실","횡성군 의회 청사","","강원특별자치도 횡성군 횡성읍 읍하리58","9","11","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","횡성농협 군지부","","강원특별자치도 횡성군 횡성읍 읍하리278-1","5","6","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","횡성농협협동조합청사","","강원특별자치도 횡성군 횡성읍 읍하리278-4","4","10","근무시간","","","좌표를 찾을 수 없음"
"개방화장실","횡성루지체험장 탑승장 화장실","","강원특별자치도 횡성군 우천면 오원리 산 311-7","1","3","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","종합운동장 야외화장실 1","","강원특별자치도 횡성군 횡성읍 문화로 47","4","5","동절기폐쇄","","","좌표를 찾을 수 없음"
"개방화장실","강림생태공원화장실","강원특별자치도 횡성군 강림면 강림리 841-4","","2","4","","","","좌표를 찾을 수 없음"
