구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","김포공항역 화장실","경기도 김포시 강서구 방화동 886-7, 고촌","경기도 김포시 강서구 방화동 886-7, 고촌","4","9","","","","좌표를 찾을 수 없음"
"공중화장실","장자호수생태공원","경기도 구리시 토평동 878","경기도 구리시 토평동 878","4","5","","","","좌표를 찾을 수 없음"
"개방화장실","김포시 고촌읍 신곡리6지구 S2-1","경기도 김포시 고촌읍 신곡리6지구 S2-1","","14","23","영업시간","","","좌표를 찾을 수 없음"
"간이화장실","지금동 황골 약수터[지금-1]","","경기도 남양주시 지금동 116-1","2","1","","","","좌표를 찾을 수 없음"
"공중화장실","행복누리공원화장실","경기도 의정부시 신촌로 79 (가능동)","","3","4","","","","좌표를 찾을 수 없음"
"공중화장실","호호당 화장실(효자역)","경기도 의정부시 호국로1598번길 18 (신곡동)","","2","5","","","","좌표를 찾을 수 없음"
"이동화장실","영장산 감시탑 아래","경기도 성남시 수정구 복정동 산55-9","","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","탄천변체육시설","경기도 성남시 중원구 탄천변 제1체육공원 내","","4","3","09시~21시","","","좌표를 찾을 수 없음"
"공중화장실","SK에너지㈜ 분당공원주유소","경기도 성남시 분당구 새마을길 27 (서현동)","","2","2","","","","좌표를 찾을 수 없음"
"개방화장실","야탑동 변전소","경기도 성남시 분당구 야탑로 358 (야탑동)","","1","1","영업시간내","","","좌표를 찾을 수 없음"
"개방화장실","154KV 정자변전소","경기도 성남시 분당구 분당수서로 457 (정자동)","","1","1","영업시간내","","","좌표를 찾을 수 없음"
"개방화장실","154KV 동판교 변전소","경기도 성남시 분당구 대왕판교로 572 (백현동)","","1","1","영업시간내","","","좌표를 찾을 수 없음"
"개방화장실","물생산과(복정정수장)","경기도 성남시 수정구 1416번길 22, 복정정수장","","3","3","09:00~18:00","","","좌표를 찾을 수 없음"
"개방화장실","통일기념탑 안 한옥화장실","경기도 성남시 수정구 양지동 78-1","","4","8","8시~18시","","","좌표를 찾을 수 없음"
"개방화장실","산성체육관 앞 간이화장실","경기도 성남시 수정구 양지동 산 130-1","","1","2","8시~18시","","","좌표를 찾을 수 없음"
"개방화장실","약사사입구 간이화장실","경기도 성남시 중원구 은행동 산8","","1","1","","","","좌표를 찾을 수 없음"
"개방화장실","탄천 우안3(정자교)","경기도 성남시 분당구 정자동 제3호 하천","","2","2","","","","좌표를 찾을 수 없음"
"이동화장실","성호시장 이동화장실","경기도 성남시 중원구 광명로 147 (성남동)","","1","2","","","","좌표를 찾을 수 없음"
"개방화장실","탄천 우안10(수진쉼터)","경기도 성남시 수정구 태평인라인장 앞","","2","5","","","","좌표를 찾을 수 없음"
"공중화장실","느루소공원공영","동안구 호계동 954-4 호계1동소공원 지하","동안구 호계동 954-4 호계1동소공원 지하","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","간이","경기도 수원시 팔달구 구운로14번길 42(구운동)","경기도 수원시 팔달구 구운동 501","1","1","","","","좌표를 찾을 수 없음"
"공중화장실","문화","경기도 수원시 팔달구 권중로50번길 5(권선동)","경기도 수원시 팔달구 권선동 1252","2","3","","","","좌표를 찾을 수 없음"
"공중화장실","사색","","경기도 수원시 영통구 원천동 255","3","7","06:00~22:00","","","좌표를 찾을 수 없음"
