구분,화장실명,소재지도로명주소,소재지지번주소,남성대변기수,여성대변기수,개방시간상세,WGS84위도,WGS84경도,오류사유
"개방화장실","덕신공원 1","","울산광역시 울주군 온산읍 덕신리 5-2","2","6","","","","좌표를 찾을 수 없음"
"공중화장실","입암공원등산로","울산 울주군 범서읍 구영리 산99-1","","1","2","8시간","","","좌표를 찾을 수 없음"
"공중화장실","천전리각석입구","울산 울주군 두동면 천전리 269-1외1필지","","1","1","8시간","","","좌표를 찾을 수 없음"
"공중화장실","곡천시장","울산 울주군 웅촌면 곡천리 320-2","","3","4","8시간","","","좌표를 찾을 수 없음"
"공중화장실","회야댐망향비","울산 울주군 청량면 동천리 산77-3","","1","1","8시간","","","좌표를 찾을 수 없음"
"공중화장실","온산게이트볼장","울산 울주군 온산읍 덕신리 319-6","","1","1","8시간","","","좌표를 찾을 수 없음"
"공중화장실","이천계곡","울산 울주군 상북면 이천리 611-1","","2","5","8시간","","","좌표를 찾을 수 없음"
"개방화장실","구량천변(차리)","울산광역시 울주군 두서면 차리 995","","1","3","","","","좌표를 찾을 수 없음"
"개방화장실","우가마을솔밭 공중화장실","","울산광역시 북구 당사동 92-3","1","1","","35.59826","129.463","최종 좌표가 울산광역시 범위를 벗어남"
"개방화장실","강동누리길(당사) 공중화장실","","울산광역시 북구 당사동 276-1번지","1","1","","35.58922","129.463","최종 좌표가 울산광역시 범위를 벗어남"
"개방화장실","우가어촌체험마을 공중화장실","","울산광역시 북구 당사동 143-5","1","3","","35.59384","129.4631","최종 좌표가 울산광역시 범위를 벗어남"
