시간,유형,메시지
"오전 11:24:37","info","컬럼 매핑: 이름(1), 도로명(2), 지번(3), 좌표(7, 8)"
"오전 11:24:37","info","작업 시작: 825 건 / 지역: 제주특별자치도 "
"오전 11:24:37","info","[1/825] 제주대학교버스회차지 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 제주대학로 102"""
"오전 11:24:37","info","[1/825] 제주대학교버스회차지 : 역지오코딩 검증 중..."
"오전 11:24:37","success","[1/825] 제주대학교버스회차지 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:37","success","[1/825] 제주대학교버스회차지 : 주소 검색 성공[road]"
"오전 11:24:37","info","[1/825] 제주대학교버스회차지 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 제주대학교버스회차지"""
"오전 11:24:37","info","[1/825] 제주대학교버스회차지 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:37","success","[1/825] 제주대학교버스회차지 : 변환 성공"
"오전 11:24:37","info","[2/825] 한천제2저류지공원 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 오등동 1834-4"""
"오전 11:24:38","info","[2/825] 한천제2저류지공원 : 역지오코딩 검증 중..."
"오전 11:24:38","success","[2/825] 한천제2저류지공원 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:38","success","[2/825] 한천제2저류지공원 : 주소 검색 성공[road]"
"오전 11:24:38","info","[2/825] 한천제2저류지공원 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 한천제2저류지공원"""
"오전 11:24:38","info","[2/825] 한천제2저류지공원 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:38","success","[2/825] 한천제2저류지공원 : 변환 성공"
"오전 11:24:38","info","[3/825] 아라동 다목적운동장 : 주소 검색 시도[road]-> ""제주특별자치도 제주시 아라이동1360-14"""
"오전 11:24:38","info","[3/825] 아라동 다목적운동장 : 역지오코딩 검증 중..."
"오전 11:24:38","success","[3/825] 아라동 다목적운동장 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오전 11:24:38","success","[3/825] 아라동 다목적운동장 : 주소 검색 성공[road]"
"오전 11:24:38","info","[3/825] 아라동 다목적운동장 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 아라동 다목적운동장"""
"오전 11:24:38","warning","[3/825] 아라동 다목적운동장 : [DOUBLE-CHECK] 시설명 위치와 불일치 (8704m)"
"오전 11:24:38","success","[3/825] 아라동 다목적운동장 : 변환 성공"
"오전 11:24:38","info","[4/825] 국제대학버스회차지 : 주소 검색 시도[jibun]-> ""제주특별자치도 제주시 영평동 2237-6"""
"오전 11:24:38","info","[4/825] 국제대학버스회차지 : 역지오코딩 검증 중..."
"오전 11:24:39","warning","[4/825] 국제대학버스회차지 : 역지오코딩 검증[WARNING] - 주소 불일치(원본: 제주특별자치도 제주시 영평동 2237-6, 역변환: 제주특별자치도 제주시 516로 2870)"
"오전 11:24:39","success","[4/825] 국제대학버스회차지 : 주소 검색 성공[jibun]"
"오전 11:24:39","info","[4/825] 국제대학버스회차지 : 시설명 교차 검증 중 [Phase B] -> ""제주특별자치도 국제대학버스회차지"""
"오전 11:24:39","info","[4/825] 국제대학버스회차지 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오전 11:24:39","success","[4/825] 국제대학버스회차지 : 변환 성공"
