시간,유형,메시지
"오후 12:33:33","info","컬럼 매핑: 이름(1), 도로명(2), 지번(3), 좌표(7, 8)"
"오후 12:33:33","info","작업 시작: 948 건 / 지역: 울산광역시 "
"오후 12:33:33","info","[1/948] 중구청사 본관 화장실 : 주소 검색 시도[road]-> ""울산광역시 중구 단장골길 1"""
"오후 12:33:33","info","[1/948] 중구청사 본관 화장실 : 역지오코딩 검증 중..."
"오후 12:33:33","success","[1/948] 중구청사 본관 화장실 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:33","success","[1/948] 중구청사 본관 화장실 : 주소 검색 성공[road]"
"오후 12:33:33","info","[1/948] 중구청사 본관 화장실 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 중구청사 본관"""
"오후 12:33:33","info","[1/948] 중구청사 본관 화장실 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 12:33:33","info","[1/948] 중구청사 본관 화장실 : 입력좌표 vs 검색좌표 거리 = 70 m"
"오후 12:33:33","warning","[1/948] 중구청사 본관 화장실 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:33","success","[1/948] 중구청사 본관 화장실 : 변환 성공"
"오후 12:33:33","info","[2/948] 중구청사 의회동 화장실 : 주소 검색 시도[road]-> ""울산광역시 중구 단장골길 1"""
"오후 12:33:33","info","[Cache] 지오코딩 결과 재사용: ""울산광역시 중구 단장골길 1"""
"오후 12:33:33","info","[2/948] 중구청사 의회동 화장실 : 역지오코딩 검증 중..."
"오후 12:33:33","info","[Cache] 역지오코딩 결과 재사용: 35.569215,129.332180"
"오후 12:33:33","success","[2/948] 중구청사 의회동 화장실 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:33","success","[2/948] 중구청사 의회동 화장실 : 주소 검색 성공[road]"
"오후 12:33:33","info","[2/948] 중구청사 의회동 화장실 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 중구청사 의회동"""
"오후 12:33:34","info","[2/948] 중구청사 의회동 화장실 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 12:33:34","info","[2/948] 중구청사 의회동 화장실 : 입력좌표 vs 검색좌표 거리 = 70 m"
"오후 12:33:34","warning","[2/948] 중구청사 의회동 화장실 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:34","success","[2/948] 중구청사 의회동 화장실 : 변환 성공"
"오후 12:33:34","info","[3/948] 문화의전당 공중화장실 : 주소 검색 시도[road]-> ""울산광역시 중구 종가로 405"""
"오후 12:33:34","info","[3/948] 문화의전당 공중화장실 : 역지오코딩 검증 중..."
"오후 12:33:34","success","[3/948] 문화의전당 공중화장실 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:34","success","[3/948] 문화의전당 공중화장실 : 주소 검색 성공[road]"
"오후 12:33:34","info","[3/948] 문화의전당 공중화장실 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 문화의전당"""
"오후 12:33:34","success","[3/948] 문화의전당 공중화장실 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (2m)"
"오후 12:33:34","info","[3/948] 문화의전당 공중화장실 : 입력좌표 vs 검색좌표 거리 = 9 m"
"오후 12:33:34","warning","[3/948] 문화의전당 공중화장실 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:34","success","[3/948] 문화의전당 공중화장실 : 변환 성공"
"오후 12:33:34","info","[4/948] 병영1동 행정복지센터 : 주소 검색 시도[road]-> ""울산광역시 중구 병영3길 8"""
"오후 12:33:34","info","[4/948] 병영1동 행정복지센터 : 역지오코딩 검증 중..."
"오후 12:33:34","success","[4/948] 병영1동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:34","success","[4/948] 병영1동 행정복지센터 : 주소 검색 성공[road]"
"오후 12:33:34","info","[4/948] 병영1동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 병영1동 행정복지센터"""
"오후 12:33:34","success","[4/948] 병영1동 행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (2m)"
"오후 12:33:34","info","[4/948] 병영1동 행정복지센터 : 입력좌표 vs 검색좌표 거리 = 22243 m"
"오후 12:33:34","warning","[4/948] 병영1동 행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:34","success","[4/948] 병영1동 행정복지센터 : 변환 성공"
"오후 12:33:34","info","[5/948] 병영경로당 2층 다목적홀 화장실 : 주소 검색 시도[road]-> ""울산광역시 중구 병영3길 10"""
"오후 12:33:35","info","[5/948] 병영경로당 2층 다목적홀 화장실 : 역지오코딩 검증 중..."
"오후 12:33:35","success","[5/948] 병영경로당 2층 다목적홀 화장실 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:35","success","[5/948] 병영경로당 2층 다목적홀 화장실 : 주소 검색 성공[road]"
"오후 12:33:35","info","[5/948] 병영경로당 2층 다목적홀 화장실 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 병영경로당 다목적홀"""
"오후 12:33:35","info","[5/948] 병영경로당 2층 다목적홀 화장실 : [DOUBLE-CHECK] 시설명으로 검색 결과 없음 - 주소 검색 결과만 사용"
"오후 12:33:35","info","[5/948] 병영경로당 2층 다목적홀 화장실 : 입력좌표 vs 검색좌표 거리 = 3 m"
"오후 12:33:35","warning","[5/948] 병영경로당 2층 다목적홀 화장실 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:35","success","[5/948] 병영경로당 2층 다목적홀 화장실 : 변환 성공"
"오후 12:33:35","info","[6/948] 병영2동 행정복지센터 : 주소 검색 시도[road]-> ""울산광역시 중구 병영성7길 9"""
"오후 12:33:35","info","[6/948] 병영2동 행정복지센터 : 역지오코딩 검증 중..."
"오후 12:33:35","success","[6/948] 병영2동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:35","success","[6/948] 병영2동 행정복지센터 : 주소 검색 성공[road]"
"오후 12:33:35","info","[6/948] 병영2동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 병영2동 행정복지센터"""
"오후 12:33:35","success","[6/948] 병영2동 행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (3m)"
"오후 12:33:35","info","[6/948] 병영2동 행정복지센터 : 입력좌표 vs 검색좌표 거리 = 24 m"
"오후 12:33:35","warning","[6/948] 병영2동 행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:35","success","[6/948] 병영2동 행정복지센터 : 변환 성공"
"오후 12:33:35","info","[7/948] 성안동 행정복지센터 : 주소 검색 시도[road]-> ""울산광역시 중구 백양로 34"""
"오후 12:33:36","info","[7/948] 성안동 행정복지센터 : 역지오코딩 검증 중..."
"오후 12:33:36","success","[7/948] 성안동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:36","success","[7/948] 성안동 행정복지센터 : 주소 검색 성공[road]"
"오후 12:33:36","info","[7/948] 성안동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 성안동 행정복지센터"""
"오후 12:33:36","success","[7/948] 성안동 행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (1m)"
"오후 12:33:36","info","[7/948] 성안동 행정복지센터 : 입력좌표 vs 검색좌표 거리 = 6 m"
"오후 12:33:36","warning","[7/948] 성안동 행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:36","success","[7/948] 성안동 행정복지센터 : 변환 성공"
"오후 12:33:36","info","[8/948] 반구1동 행정복지센터 : 주소 검색 시도[road]-> ""울산광역시 중구 화합로 340"""
"오후 12:33:36","info","[8/948] 반구1동 행정복지센터 : 역지오코딩 검증 중..."
"오후 12:33:36","success","[8/948] 반구1동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:36","success","[8/948] 반구1동 행정복지센터 : 주소 검색 성공[road]"
"오후 12:33:36","info","[8/948] 반구1동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 반구1동 행정복지센터"""
"오후 12:33:36","success","[8/948] 반구1동 행정복지센터 : [DOUBLE-CHECK] 시설명 검색 결과와 일치 (4m)"
"오후 12:33:36","info","[8/948] 반구1동 행정복지센터 : 입력좌표 vs 검색좌표 거리 = 9 m"
"오후 12:33:36","warning","[8/948] 반구1동 행정복지센터 : 검증 등급 PERFECT -> 검색 좌표 우선 적용"
"오후 12:33:36","success","[8/948] 반구1동 행정복지센터 : 변환 성공"
"오후 12:33:36","info","[9/948] 반구2동 행정복지센터 : 주소 검색 시도[road]-> ""울산광역시 중구 구교4길 40"""
"오후 12:33:36","info","[9/948] 반구2동 행정복지센터 : 역지오코딩 검증 중..."
"오후 12:33:37","success","[9/948] 반구2동 행정복지센터 : 역지오코딩 검증[PERFECT] - 주소 일치"
"오후 12:33:37","success","[9/948] 반구2동 행정복지센터 : 주소 검색 성공[road]"
"오후 12:33:37","info","[9/948] 반구2동 행정복지센터 : 시설명 교차 검증 중 [Phase B] -> ""울산광역시 반구2동 행정복지센터"""
